FeedbackSK,Feedback ID,Feedback Type,Resolution Status
259,279,Complaint,Pending
260,280,Suggestion,Resolved
261,281,Complaint,Resolved
262,282,Praise,Resolved
263,283,Complaint,Resolved
264,285,Praise,Pending
265,286,Praise,Pending
266,287,Complaint,Pending
267,288,Complaint,Pending
268,289,Praise,Resolved
269,290,Praise,Pending
270,291,Suggestion,Pending
271,292,Complaint,Resolved
272,293,Suggestion,Pending
273,294,Praise,Resolved
274,295,Complaint,Pending
275,296,Praise,Resolved
276,297,Praise,Pending
277,298,Praise,Pending
278,299,Suggestion,Resolved
279,300,Suggestion,Resolved
280,301,Praise,Resolved
281,302,Complaint,Pending
282,303,Suggestion,Pending
283,304,Praise,Resolved
284,305,Praise,Pending
285,306,Praise,Resolved
286,307,Praise,Pending
287,308,Suggestion,Resolved
288,309,Suggestion,Pending
289,310,Praise,Resolved
290,311,Suggestion,Pending
291,312,Suggestion,Pending
292,313,Complaint,Resolved
293,316,Suggestion,Pending
294,317,Suggestion,Pending
295,318,Praise,Resolved
296,319,Suggestion,Pending
297,320,Suggestion,Resolved
298,321,Suggestion,Pending
299,322,Praise,Pending
300,323,Praise,Pending
301,324,Suggestion,Pending
302,325,Suggestion,Resolved
303,326,Suggestion,Pending
304,327,Complaint,Resolved
305,328,Suggestion,Pending
306,329,Praise,Resolved
307,330,Suggestion,Pending
308,331,Suggestion,Pending
309,332,Praise,Pending
310,333,Complaint,Pending
311,334,Suggestion,Resolved
312,335,Praise,Resolved
313,336,Suggestion,Resolved
314,339,Praise,Pending
315,340,Suggestion,Pending
316,341,Praise,Resolved
317,342,Suggestion,Pending
318,343,Praise,Resolved
319,344,Complaint,Resolved
320,346,Praise,Pending
321,348,Praise,Resolved
322,349,Praise,Resolved
323,350,Praise,Resolved
324,351,Complaint,Resolved
325,352,Complaint,Resolved
326,353,Suggestion,Resolved
327,354,Praise,Resolved
328,355,Suggestion,Resolved
329,357,Suggestion,Resolved
330,358,Complaint,Pending
331,359,Complaint,Resolved
332,360,Suggestion,Pending
333,361,Praise,Resolved
334,362,Praise,Pending
335,363,Praise,Pending
336,364,Complaint,Pending
337,365,Suggestion,Pending
338,366,Praise,Resolved
339,367,Complaint,Pending
340,368,Praise,Pending
341,369,Complaint,Resolved
342,370,Suggestion,Resolved
343,371,Complaint,Resolved
344,372,Complaint,Pending
345,373,Suggestion,Pending
346,374,Suggestion,Resolved
347,375,Suggestion,Resolved
348,376,Complaint,Pending
349,377,Suggestion,Resolved
350,378,Complaint,Pending
351,379,Praise,Pending
352,380,Praise,Resolved
353,381,Suggestion,Pending
354,382,Complaint,Pending
355,383,Suggestion,Pending
356,384,Complaint,Pending
357,385,Praise,Resolved
358,386,Praise,Pending
359,387,Suggestion,Resolved
360,388,Praise,Pending
361,389,Praise,Pending
362,390,Suggestion,Resolved
363,391,Suggestion,Resolved
364,392,Praise,Resolved
365,393,Praise,Pending
366,394,Suggestion,Pending
367,395,Complaint,Pending
368,396,Suggestion,Resolved
369,397,Suggestion,Resolved
370,398,Suggestion,Pending
371,399,Suggestion,Pending
372,400,Complaint,Pending
373,401,Praise,Pending
374,402,Complaint,Resolved
375,404,Suggestion,Resolved
376,405,Complaint,Resolved
377,406,Complaint,Pending
378,407,Praise,Pending
379,408,Complaint,Pending
380,409,Complaint,Resolved
381,410,Complaint,Pending
382,411,Suggestion,Resolved
383,412,Suggestion,Resolved
384,413,Suggestion,Resolved
385,414,Praise,Pending
386,415,Praise,Resolved
387,416,Praise,Pending
388,417,Suggestion,Pending
389,418,Complaint,Pending
390,419,Praise,Resolved
391,420,Praise,Pending
392,421,Complaint,Resolved
393,422,Complaint,Pending
394,423,Suggestion,Pending
395,424,Complaint,Pending
396,425,Praise,Pending
397,426,Praise,Pending
398,427,Suggestion,Pending
399,428,Suggestion,Pending
400,429,Complaint,Resolved
401,430,Suggestion,Pending
402,431,Praise,Resolved
403,432,Suggestion,Resolved
404,433,Suggestion,Resolved
405,434,Suggestion,Pending
406,435,Suggestion,Pending
407,436,Complaint,Pending
408,437,Complaint,Resolved
409,438,Complaint,Resolved
410,439,Praise,Pending
411,440,Praise,Resolved
412,441,Suggestion,Resolved
413,442,Praise,Pending
414,443,Suggestion,Pending
415,444,Suggestion,Pending
416,445,Suggestion,Resolved
417,446,Praise,Resolved
418,447,Praise,Resolved
419,448,Suggestion,Resolved
420,449,Complaint,Pending
421,450,Complaint,Pending
422,451,Suggestion,Resolved
423,452,Suggestion,Pending
424,453,Complaint,Pending
425,454,Complaint,Resolved
426,455,Praise,Resolved
427,456,Complaint,Resolved
428,457,Suggestion,Resolved
429,458,Complaint,Resolved
430,461,Praise,Pending
431,462,Complaint,Resolved
432,463,Praise,Resolved
433,464,Complaint,Resolved
434,465,Praise,Pending
435,466,Suggestion,Resolved
436,467,Suggestion,Pending
437,468,Suggestion,Resolved
438,469,Complaint,Resolved
439,470,Suggestion,Resolved
440,471,Praise,Resolved
441,472,Complaint,Pending
442,473,Complaint,Resolved
443,474,Suggestion,Pending
444,475,Praise,Pending
445,476,Suggestion,Resolved
446,477,Complaint,Pending
447,478,Complaint,Resolved
448,479,Complaint,Resolved
449,480,Suggestion,Resolved
450,481,Suggestion,Resolved
451,482,Complaint,Resolved
452,484,Suggestion,Pending
453,485,Praise,Resolved
454,486,Praise,Resolved
455,487,Suggestion,Resolved
456,488,Praise,Resolved
457,489,Complaint,Pending
458,490,Praise,Resolved
459,491,Suggestion,Resolved
460,492,Praise,Resolved
461,494,Praise,Resolved
462,495,Suggestion,Pending
463,496,Praise,Pending
464,497,Praise,Pending
465,498,Complaint,Pending
466,499,Complaint,Pending
467,500,Complaint,Resolved
468,501,Suggestion,Pending
469,502,Complaint,Pending
470,503,Complaint,Pending
471,504,Suggestion,Resolved
472,505,Complaint,Resolved
473,506,Suggestion,Resolved
474,507,Complaint,Resolved
475,508,Praise,Resolved
476,509,Suggestion,Resolved
477,510,Complaint,Pending
478,511,Complaint,Pending
479,512,Complaint,Resolved
480,513,Suggestion,Resolved
481,514,Praise,Pending
482,515,Complaint,Pending
483,516,Complaint,Resolved
484,517,Complaint,Resolved
485,518,Suggestion,Resolved
486,519,Complaint,Resolved
487,520,Praise,Pending
488,521,Suggestion,Pending
489,522,Complaint,Pending
490,523,Praise,Pending
491,525,Praise,Resolved
492,526,Complaint,Pending
493,527,Complaint,Resolved
494,528,Complaint,Pending
495,529,Praise,Pending
496,530,Praise,Pending
497,531,Praise,Pending
498,532,Suggestion,Pending
499,534,Complaint,Pending
500,535,Suggestion,Resolved
501,536,Suggestion,Resolved
502,537,Praise,Pending
503,538,Suggestion,Resolved
504,539,Praise,Pending
505,540,Praise,Resolved
506,542,Praise,Pending
507,543,Praise,Pending
508,544,Praise,Pending
509,545,Complaint,Pending
510,546,Complaint,Pending
511,547,Complaint,Pending
512,548,Suggestion,Pending
513,549,Praise,Pending
514,550,Praise,Pending
515,551,Complaint,Resolved
516,552,Suggestion,Resolved
517,553,Complaint,Resolved
518,554,Praise,Pending
519,555,Praise,Resolved
520,556,Complaint,Resolved
521,557,Praise,Pending
522,558,Suggestion,Resolved
523,559,Praise,Pending
524,560,Praise,Pending
525,561,Suggestion,Pending
526,562,Complaint,Resolved
527,563,Complaint,Resolved
528,564,Praise,Resolved
529,565,Complaint,Resolved
530,566,Suggestion,Resolved
531,567,Complaint,Pending
532,568,Praise,Pending
533,569,Complaint,Resolved
534,570,Suggestion,Pending
535,571,Suggestion,Resolved
536,572,Praise,Resolved
537,573,Suggestion,Resolved
538,574,Praise,Resolved
539,575,Complaint,Resolved
540,576,Complaint,Pending
541,577,Suggestion,Pending
542,578,Suggestion,Pending
543,579,Complaint,Pending
544,580,Complaint,Pending
545,581,Complaint,Pending
546,582,Suggestion,Pending
547,583,Praise,Resolved
548,584,Suggestion,Pending
549,585,Complaint,Pending
550,586,Complaint,Resolved
551,587,Complaint,Pending
552,588,Complaint,Resolved
553,589,Complaint,Resolved
554,590,Praise,Resolved
555,591,Praise,Pending
556,592,Suggestion,Resolved
557,593,Praise,Resolved
558,594,Complaint,Resolved
559,595,Complaint,Resolved
560,596,Praise,Resolved
561,597,Suggestion,Resolved
562,598,Praise,Resolved
563,599,Complaint,Pending
564,600,Praise,Pending
565,601,Praise,Pending
566,602,Complaint,Pending
567,603,Praise,Pending
568,604,Suggestion,Pending
569,605,Praise,Pending
570,606,Suggestion,Resolved
571,607,Complaint,Pending
572,608,Praise,Resolved
573,609,Praise,Resolved
574,610,Praise,Pending
575,611,Suggestion,Resolved
576,612,Suggestion,Pending
577,613,Praise,Pending
578,614,Complaint,Pending
579,615,Complaint,Pending
580,616,Praise,Pending
581,617,Praise,Pending
582,618,Suggestion,Pending
583,619,Praise,Pending
584,621,Suggestion,Resolved
585,622,Suggestion,Resolved
586,623,Praise,Resolved
587,624,Suggestion,Pending
588,625,Praise,Resolved
589,626,Praise,Resolved
590,627,Complaint,Resolved
591,628,Suggestion,Resolved
592,629,Suggestion,Resolved
593,630,Suggestion,Pending
594,631,Suggestion,Pending
595,632,Complaint,Pending
596,633,Complaint,Resolved
597,634,Suggestion,Resolved
598,635,Suggestion,Pending
599,636,Complaint,Resolved
600,637,Suggestion,Resolved
601,638,Suggestion,Resolved
602,639,Suggestion,Resolved
603,640,Suggestion,Resolved
604,641,Praise,Resolved
605,642,Complaint,Pending
606,643,Complaint,Pending
607,644,Complaint,Pending
608,645,Praise,Pending
609,647,Praise,Resolved
610,648,Complaint,Resolved
611,649,Suggestion,Pending
612,650,Suggestion,Pending
613,651,Praise,Resolved
614,652,Complaint,Pending
615,653,Complaint,Resolved
616,654,Complaint,Pending
617,655,Praise,Pending
618,656,Praise,Pending
619,657,Suggestion,Pending
620,658,Praise,Pending
621,659,Complaint,Pending
622,660,Complaint,Pending
623,661,Praise,Resolved
624,662,Praise,Pending
625,664,Praise,Pending
626,665,Complaint,Pending
627,666,Suggestion,Resolved
628,667,Suggestion,Pending
629,668,Complaint,Pending
630,669,Complaint,Resolved
631,670,Complaint,Pending
632,672,Praise,Pending
633,673,Suggestion,Pending
634,674,Suggestion,Pending
635,675,Suggestion,Pending
636,676,Praise,Resolved
637,677,Suggestion,Resolved
638,678,Praise,Pending
639,679,Praise,Pending
640,680,Praise,Pending
641,681,Complaint,Resolved
642,682,Complaint,Resolved
643,683,Complaint,Resolved
644,684,Suggestion,Resolved
645,685,Suggestion,Resolved
646,686,Complaint,Pending
647,687,Suggestion,Resolved
648,688,Praise,Pending
649,689,Suggestion,Pending
650,690,Suggestion,Resolved
651,691,Complaint,Pending
652,692,Suggestion,Resolved
653,694,Praise,Pending
654,695,Suggestion,Pending
655,696,Suggestion,Resolved
656,697,Suggestion,Pending
657,698,Praise,Resolved
658,699,Suggestion,Pending
659,700,Complaint,Resolved
660,701,Suggestion,Resolved
661,702,Praise,Pending
662,703,Complaint,Resolved
663,704,Praise,Pending
664,705,Praise,Resolved
665,706,Complaint,Resolved
666,707,Praise,Resolved
667,708,Complaint,Pending
668,709,Praise,Resolved
669,710,Complaint,Resolved
670,711,Complaint,Pending
671,712,Praise,Pending
672,713,Suggestion,Pending
673,714,Complaint,Pending
674,715,Suggestion,Pending
675,716,Complaint,Pending
676,717,Complaint,Resolved
677,718,Praise,Pending
678,719,Complaint,Resolved
679,720,Praise,Resolved
680,721,Suggestion,Resolved
681,722,Complaint,Pending
682,723,Suggestion,Pending
683,724,Complaint,Pending
684,725,Suggestion,Resolved
685,727,Praise,Pending
686,728,Praise,Pending
687,730,Praise,Resolved
688,731,Complaint,Resolved
689,732,Praise,Resolved
690,733,Praise,Pending
691,734,Complaint,Resolved
692,735,Suggestion,Pending
693,736,Complaint,Resolved
694,737,Suggestion,Pending
695,738,Praise,Pending
696,739,Complaint,Resolved
697,740,Praise,Resolved
698,741,Complaint,Resolved
699,742,Suggestion,Pending
700,743,Complaint,Pending
701,744,Praise,Pending
702,745,Suggestion,Resolved
703,746,Suggestion,Pending
704,747,Complaint,Resolved
705,748,Praise,Resolved
706,750,Praise,Resolved
707,751,Suggestion,Pending
708,752,Suggestion,Resolved
709,753,Suggestion,Resolved
710,754,Suggestion,Resolved
711,755,Praise,Pending
712,756,Suggestion,Pending
713,757,Complaint,Pending
714,758,Complaint,Resolved
715,760,Praise,Resolved
716,761,Suggestion,Pending
717,762,Suggestion,Pending
718,763,Complaint,Pending
719,764,Suggestion,Pending
720,765,Complaint,Resolved
721,766,Suggestion,Resolved
722,767,Complaint,Pending
723,768,Complaint,Pending
724,769,Praise,Pending
725,770,Complaint,Resolved
726,771,Praise,Pending
727,772,Complaint,Pending
728,773,Praise,Resolved
729,774,Praise,Resolved
730,775,Suggestion,Pending
731,776,Praise,Resolved
732,778,Complaint,Pending
733,779,Suggestion,Resolved
734,780,Praise,Resolved
735,781,Praise,Resolved
736,782,Suggestion,Pending
737,783,Complaint,Resolved
738,784,Suggestion,Pending
739,785,Praise,Resolved
740,786,Praise,Pending
741,787,Suggestion,Resolved
742,788,Complaint,Pending
743,789,Complaint,Pending
744,790,Praise,Pending
745,791,Suggestion,Resolved
746,792,Complaint,Pending
747,793,Complaint,Resolved
748,794,Praise,Pending
749,795,Praise,Pending
750,796,Complaint,Pending
751,797,Complaint,Pending
752,798,Praise,Resolved
753,799,Praise,Pending
754,800,Praise,Pending
755,801,Suggestion,Resolved
756,802,Complaint,Resolved
757,803,Suggestion,Pending
758,804,Suggestion,Resolved
759,805,Complaint,Resolved
760,806,Suggestion,Pending
761,807,Praise,Resolved
762,808,Praise,Resolved
763,809,Suggestion,Resolved
764,810,Suggestion,Resolved
765,811,Praise,Pending
766,812,Suggestion,Pending
767,813,Suggestion,Pending
768,814,Praise,Pending
769,815,Suggestion,Pending
770,816,Praise,Pending
771,817,Suggestion,Resolved
772,818,Suggestion,Pending
773,819,Praise,Pending
774,820,Complaint,Resolved
775,821,Complaint,Pending
776,822,Complaint,Pending
777,823,Complaint,Pending
778,824,Complaint,Pending
779,825,Suggestion,Pending
780,826,Suggestion,Resolved
781,827,Complaint,Pending
782,828,Suggestion,Resolved
783,829,Suggestion,Pending
784,830,Complaint,Pending
785,831,Praise,Resolved
786,832,Complaint,Resolved
787,833,Praise,Resolved
788,834,Praise,Pending
789,835,Praise,Resolved
790,836,Praise,Resolved
791,837,Praise,Pending
792,839,Suggestion,Resolved
793,841,Suggestion,Resolved
794,842,Praise,Pending
795,843,Complaint,Pending
796,844,Praise,Resolved
797,845,Praise,Pending
798,846,Praise,Resolved
799,847,Praise,Resolved
800,848,Praise,Resolved
801,849,Praise,Resolved
802,850,Complaint,Pending
803,851,Complaint,Pending
804,852,Suggestion,Resolved
805,853,Suggestion,Resolved
806,855,Complaint,Pending
807,856,Complaint,Pending
808,858,Suggestion,Pending
809,859,Complaint,Pending
810,860,Suggestion,Resolved
811,861,Praise,Resolved
812,862,Complaint,Pending
813,863,Suggestion,Resolved
814,864,Complaint,Pending
815,865,Complaint,Pending
816,866,Complaint,Pending
817,867,Complaint,Pending
818,868,Complaint,Resolved
819,869,Complaint,Resolved
820,870,Praise,Pending
821,871,Praise,Pending
822,872,Suggestion,Pending
823,873,Suggestion,Pending
824,874,Complaint,Pending
825,875,Complaint,Resolved
826,876,Suggestion,Pending
827,877,Suggestion,Pending
828,878,Complaint,Pending
829,879,Complaint,Resolved
830,880,Suggestion,Resolved
831,881,Complaint,Resolved
832,882,Praise,Resolved
833,883,Praise,Pending
834,884,Complaint,Resolved
835,885,Complaint,Resolved
836,886,Praise,Pending
837,887,Praise,Resolved
838,888,Complaint,Pending
839,889,Praise,Resolved
840,890,Praise,Resolved
841,891,Praise,Resolved
842,892,Praise,Resolved
843,893,Complaint,Resolved
844,894,Complaint,Resolved
845,895,Complaint,Pending
846,896,Praise,Pending
847,897,Praise,Pending
848,898,Praise,Resolved
849,899,Suggestion,Resolved
850,900,Suggestion,Pending
851,901,Complaint,Pending
852,902,Praise,Resolved
853,903,Suggestion,Resolved
854,904,Suggestion,Pending
855,905,Complaint,Pending
856,906,Praise,Pending
857,907,Suggestion,Resolved
858,908,Complaint,Resolved
859,909,Praise,Resolved
860,910,Complaint,Pending
861,911,Suggestion,Resolved
862,912,Praise,Resolved
863,913,Suggestion,Resolved
864,914,Complaint,Pending
865,915,Suggestion,Resolved
866,916,Suggestion,Pending
867,917,Praise,Pending
868,918,Suggestion,Pending
869,919,Praise,Resolved
870,920,Complaint,Pending
871,921,Complaint,Pending
872,922,Praise,Pending
873,923,Praise,Resolved
874,924,Complaint,Resolved
875,926,Praise,Pending
876,927,Praise,Pending
877,928,Suggestion,Resolved
878,929,Complaint,Pending
879,930,Praise,Resolved
880,931,Suggestion,Resolved
881,932,Praise,Resolved
882,933,Complaint,Pending
883,934,Complaint,Resolved
884,935,Suggestion,Pending
885,936,Praise,Resolved
886,937,Complaint,Resolved
887,938,Suggestion,Resolved
888,939,Complaint,Pending
889,940,Suggestion,Resolved
890,941,Suggestion,Resolved
891,942,Complaint,Pending
892,943,Praise,Pending
893,945,Complaint,Pending
894,947,Suggestion,Pending
895,948,Suggestion,Pending
896,949,Suggestion,Pending
897,950,Praise,Resolved
898,951,Praise,Resolved
899,952,Complaint,Pending
900,953,Complaint,Pending
901,954,Complaint,Pending
902,955,Suggestion,Pending
903,956,Suggestion,Resolved
904,957,Complaint,Pending
905,958,Suggestion,Resolved
906,959,Praise,Pending
907,961,Suggestion,Pending
908,963,Suggestion,Resolved
909,964,Suggestion,Pending
910,965,Complaint,Resolved
911,966,Praise,Pending
912,968,Complaint,Resolved
913,969,Praise,Resolved
914,970,Suggestion,Resolved
915,971,Praise,Resolved
916,972,Praise,Resolved
917,973,Complaint,Resolved
918,974,Complaint,Pending
919,975,Suggestion,Pending
920,976,Suggestion,Resolved
921,977,Suggestion,Pending
922,978,Praise,Pending
923,979,Complaint,Pending
924,980,Suggestion,Resolved
925,981,Suggestion,Pending
926,982,Suggestion,Resolved
927,983,Praise,Pending
928,984,Suggestion,Pending
929,985,Praise,Resolved
930,986,Suggestion,Pending
931,987,Complaint,Resolved
932,988,Suggestion,Resolved
933,989,Praise,Pending
934,990,Suggestion,Resolved
935,991,Praise,Resolved
936,992,Praise,Pending
937,993,Suggestion,Pending
938,994,Praise,Resolved
939,995,Praise,Pending
940,996,Praise,Pending
941,997,Suggestion,Pending
942,998,Suggestion,Pending
943,999,Complaint,Resolved
944,1000,Suggestion,Pending
945,1001,Suggestion,Resolved
946,1002,Suggestion,Resolved
947,1003,Praise,Resolved
948,1004,Complaint,Resolved
949,1005,Suggestion,Pending
950,1006,Complaint,Resolved
951,1007,Complaint,Resolved
952,1008,Praise,Resolved
953,1009,Suggestion,Pending
954,1010,Complaint,Pending
955,1011,Suggestion,Pending
956,1012,Suggestion,Resolved
957,1013,Suggestion,Pending
958,1014,Praise,Pending
959,1015,Complaint,Pending
960,1016,Suggestion,Pending
961,1017,Complaint,Pending
962,1018,Complaint,Resolved
963,1019,Praise,Resolved
964,1021,Praise,Pending
965,1022,Suggestion,Pending
966,1023,Praise,Resolved
967,1024,Suggestion,Resolved
968,1025,Complaint,Resolved
969,1026,Suggestion,Resolved
970,1027,Praise,Resolved
971,1028,Suggestion,Pending
972,1029,Complaint,Resolved
973,1031,Suggestion,Pending
974,1032,Suggestion,Resolved
975,1033,Praise,Resolved
976,1034,Suggestion,Pending
977,1035,Suggestion,Pending
978,1036,Complaint,Resolved
979,1037,Complaint,Resolved
980,1038,Praise,Pending
981,1039,Praise,Resolved
982,1041,Complaint,Pending
983,1042,Complaint,Resolved
984,1043,Complaint,Pending
985,1044,Complaint,Resolved
986,1045,Suggestion,Pending
987,1046,Praise,Resolved
988,1047,Praise,Resolved
989,1048,Suggestion,Pending
990,1049,Complaint,Pending
991,1050,Praise,Pending
992,1051,Complaint,Pending
993,1052,Suggestion,Pending
994,1053,Complaint,Resolved
995,1055,Suggestion,Pending
996,1056,Suggestion,Resolved
997,1057,Suggestion,Resolved
998,1059,Praise,Resolved
999,1060,Suggestion,Resolved
1000,1061,Complaint,Pending
1001,1062,Suggestion,Resolved
1002,1063,Praise,Resolved
1003,1065,Praise,Resolved
1004,1066,Complaint,Resolved
1005,1067,Praise,Resolved
1006,1068,Praise,Pending
1007,1071,Praise,Resolved
1008,1072,Complaint,Pending
1009,1073,Complaint,Resolved
1010,1074,Complaint,Resolved
1011,1075,Suggestion,Pending
1012,1076,Suggestion,Pending
1013,1077,Suggestion,Pending
1014,1078,Complaint,Resolved
1015,1079,Complaint,Pending
1016,1080,Suggestion,Resolved
1017,1081,Complaint,Resolved
1018,1082,Complaint,Pending
1019,1083,Complaint,Resolved
1020,1084,Suggestion,Resolved
1021,1085,Praise,Resolved
1022,1086,Praise,Resolved
1023,1087,Praise,Resolved
1024,1088,Suggestion,Resolved
1025,1089,Praise,Pending
