LoanSK,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status
48,50,27950.34,Auto,7.1,60,Closed
49,52,1320.58,Mortgage,5.5,48,Approved
50,53,28551.75,Mortgage,2.59,60,Rejected
51,54,2206.99,Mortgage,2.28,12,Approved
52,55,48439.95,Mortgage,3.72,48,Approved
53,56,16687.82,Auto,5.12,48,Approved
54,57,26519.26,Mortgage,3.68,36,Closed
55,58,21460.86,Personal,7.41,24,Rejected
56,59,44787.58,Auto,5.88,24,Rejected
57,61,4351.01,Auto,2.92,24,Approved
58,62,36869.53,Mortgage,6.45,36,Approved
59,64,7814.57,Mortgage,8.06,48,Rejected
60,65,20866.44,Personal,9.92,48,Rejected
61,66,49909.18,Mortgage,3.08,36,Rejected
62,67,18520.8,Auto,1.14,24,Approved
63,69,42462.4,Auto,9.32,60,Approved
64,70,43528.96,Auto,3.24,48,Rejected
65,71,17604.59,Mortgage,7.8,24,Approved
66,72,15634.98,Personal,3.88,12,Approved
67,73,32716.79,Mortgage,4.52,12,Closed
68,74,11053.75,Auto,9.53,12,Rejected
69,76,7925.84,Mortgage,7.53,12,Rejected
70,77,15932.98,Auto,5.95,36,Rejected
71,78,15576.59,Personal,7.88,36,Closed
72,79,35050.1,Mortgage,3.86,12,Closed
73,80,14831.38,Personal,8.89,12,Closed
74,81,45026.29,Personal,5.94,24,Closed
75,82,49169.26,Mortgage,3.78,36,Approved
76,83,4972.02,Auto,1.34,24,Approved
77,84,20484.73,Mortgage,1.12,24,Closed
78,85,15790.21,Mortgage,4.18,12,Approved
79,86,18247.52,Personal,2.94,24,Rejected
80,87,14002.39,Mortgage,1.47,12,Approved
81,88,19750.58,Personal,5.98,12,Approved
82,89,7929.32,Auto,9.9,48,Approved
83,90,14711.1,Personal,4.8,36,Approved
84,91,37643.08,Mortgage,5.97,60,Closed
85,92,17858.28,Mortgage,2.98,36,Approved
86,93,11183.91,Mortgage,2.84,60,Approved
87,94,6313.76,Auto,3.96,48,Rejected
88,95,18052.2,Mortgage,8.52,48,Closed
89,96,32527.05,Mortgage,9.65,36,Rejected
90,97,13411.94,Personal,7.66,48,Approved
91,98,21699.84,Mortgage,1.19,48,Approved
92,99,47667.53,Personal,4.95,12,Rejected
93,100,28065.78,Auto,4.79,48,Rejected
94,101,27064.99,Mortgage,9.42,24,Approved
95,102,21087.22,Auto,7.71,48,Rejected
96,103,28285.16,Mortgage,7.43,60,Approved
97,104,49243.8,Mortgage,6.08,36,Approved
98,105,13436.54,Mortgage,6.81,60,Closed
99,106,47154.47,Personal,7.29,12,Rejected
100,107,8304.48,Personal,5.97,48,Closed
101,108,6444.16,Personal,8.6,24,Approved
102,109,33078.81,Mortgage,1.33,12,Closed
103,110,13307.77,Mortgage,9.47,36,Closed
104,111,22775.22,Mortgage,7.96,48,Approved
105,112,36753.08,Personal,5.76,36,Approved
106,113,27207.23,Personal,8.74,12,Closed
107,114,1673.72,Auto,8.45,24,Closed
108,115,15986.32,Personal,4.77,36,Rejected
109,116,4169.65,Auto,8.56,48,Closed
110,118,39937.78,Personal,5.22,60,Closed
111,119,49208.24,Mortgage,3.09,36,Rejected
112,120,44370.37,Personal,2.12,24,Closed
113,121,24291.27,Auto,9.05,12,Approved
114,123,33949.49,Personal,7.16,36,Closed
115,124,26705.38,Mortgage,4.38,48,Closed
116,125,19161.66,Auto,5.9,24,Closed
117,126,34367.34,Personal,4.13,60,Approved
118,127,29916.54,Mortgage,7.68,12,Closed
119,128,31095.06,Auto,8.08,60,Approved
120,129,20591.74,Personal,4.87,12,Closed
121,130,37226.44,Personal,8.74,60,Closed
122,131,4985.8,Mortgage,4.2,36,Closed
123,133,36807.3,Mortgage,6.85,60,Rejected
124,134,26281.23,Personal,5.1,24,Closed
125,135,13900.87,Mortgage,9,60,Approved
126,136,26444.55,Mortgage,6.15,48,Closed
127,137,7031.22,Mortgage,8.56,60,Approved
128,138,14972.04,Personal,7.6,12,Approved
129,139,21643.69,Personal,5.79,48,Rejected
130,140,33988.46,Auto,3.94,36,Closed
131,141,10173.62,Personal,9.56,36,Closed
132,142,8750.37,Personal,1.51,36,Approved
133,143,30782.02,Mortgage,9.05,24,Closed
134,144,34297.73,Mortgage,5.56,36,Rejected
135,145,5099.13,Personal,7.74,60,Closed
136,146,2625,Personal,4.01,48,Approved
137,147,8210.34,Mortgage,4.46,12,Approved
138,149,33959.29,Mortgage,9.59,12,Closed
139,150,46130.27,Auto,1.39,24,Approved
140,151,33571.03,Mortgage,4.48,24,Approved
141,152,48296.62,Auto,4.01,12,Closed
142,153,22506.43,Personal,8.32,60,Closed
143,154,30355.85,Mortgage,5.51,12,Approved
144,155,30458.09,Auto,2.52,48,Approved
145,156,1153.86,Mortgage,5.58,36,Approved
146,157,2345.27,Mortgage,3.12,60,Approved
147,158,8118,Personal,1.15,12,Rejected
148,159,26045.35,Auto,5.9,48,Rejected
149,160,22095.8,Auto,4.24,12,Approved
150,161,27447.7,Mortgage,3.15,36,Closed
151,162,40224.05,Personal,2.55,24,Closed
152,163,41289.77,Personal,5.08,12,Rejected
153,164,48873.73,Personal,8.83,48,Rejected
154,165,28319.84,Mortgage,7.82,12,Rejected
155,166,18013.56,Personal,1.04,36,Closed
156,167,16093.36,Personal,7.58,48,Rejected
157,170,20253.08,Personal,8.02,12,Rejected
158,171,4669.19,Personal,5.08,60,Approved
159,173,28834.02,Auto,9.46,24,Closed
160,174,23636.08,Personal,1.26,12,Closed
161,175,4974.16,Personal,1.95,60,Rejected
162,176,5567.23,Auto,8.83,24,Approved
163,177,27710.15,Auto,8.98,24,Rejected
164,178,2792.44,Personal,4.35,12,Approved
165,180,49695.13,Personal,2.48,24,Rejected
166,181,30272.94,Auto,8.96,48,Closed
167,182,36448.14,Personal,5.22,24,Rejected
168,183,22507.86,Auto,6.08,48,Rejected
169,184,33703.2,Personal,2.06,36,Closed
170,185,32937.24,Auto,6.53,60,Closed
171,186,41380.45,Auto,7.26,48,Rejected
172,187,35855.64,Personal,3.65,48,Approved
173,188,37703.43,Mortgage,9.07,60,Rejected
174,189,28275.16,Auto,2.84,24,Closed
175,190,24741.23,Personal,9.08,48,Closed
176,191,23477.11,Mortgage,7.33,48,Rejected
177,192,20208.54,Mortgage,8.48,60,Closed
178,193,14035.36,Personal,7.29,24,Rejected
179,194,2632.24,Auto,4.86,12,Rejected
180,195,33883.69,Personal,3.98,48,Closed
181,196,45147.1,Auto,7.61,36,Rejected
182,197,46593.64,Mortgage,3.68,60,Closed
183,198,29447.52,Auto,1.56,48,Rejected
184,199,5612.69,Personal,3.22,24,Approved
185,200,44054.55,Personal,7.8,36,Rejected
186,201,37639.5,Mortgage,8.14,12,Closed
187,202,13319.14,Personal,3.49,36,Approved
188,204,24128.39,Personal,5.94,36,Approved
189,205,44492.06,Personal,3.36,12,Rejected
190,206,13132.94,Personal,6.46,24,Approved
191,207,40244.39,Auto,3.54,12,Closed
192,208,35883.61,Auto,2.09,12,Rejected
193,209,1707.62,Mortgage,2.39,60,Approved
194,210,28603.4,Auto,3.25,60,Approved
195,211,36061.18,Personal,2.51,12,Rejected
196,212,8664.13,Personal,9.77,36,Closed
197,213,27063.05,Auto,6.93,36,Rejected
198,214,15899.82,Auto,2.61,12,Rejected
199,215,35116.39,Mortgage,4.82,36,Closed
200,216,27466.85,Auto,3.42,24,Approved
201,217,31451.44,Mortgage,7.16,36,Approved
202,218,4554.45,Mortgage,8.81,36,Rejected
203,219,7751.96,Auto,4.61,12,Closed
204,220,28052.37,Mortgage,4.86,36,Approved
205,221,9877.47,Mortgage,4.59,36,Approved
206,222,25435.87,Personal,5.04,60,Rejected
207,223,34811.44,Personal,1.32,60,Rejected
208,224,40678.81,Personal,6.33,36,Approved
209,225,8007.33,Auto,9.57,36,Closed
210,226,37352.06,Personal,8.07,12,Closed
211,227,18796.12,Mortgage,8.75,24,Rejected
212,228,34267.72,Personal,3.06,60,Closed
213,230,26243.58,Auto,9.04,36,Rejected
214,231,42040.55,Auto,1.62,48,Approved
215,232,6215.14,Auto,8.9,12,Approved
216,233,41556.36,Auto,1.58,48,Rejected
217,234,23185.65,Personal,9.85,24,Closed
218,235,41340.31,Mortgage,1.76,24,Rejected
219,236,47961,Mortgage,4.31,12,Approved
220,237,8822.98,Personal,1.49,60,Rejected
221,238,34053.91,Mortgage,1.51,36,Rejected
222,239,12519.73,Mortgage,8.8,48,Approved
223,240,7642.16,Personal,1.57,12,Rejected
224,241,31776.05,Auto,8.13,24,Rejected
225,242,6291.2,Personal,9.16,24,Approved
226,243,23793.46,Auto,9.42,12,Closed
227,244,32161.76,Mortgage,8.78,12,Rejected
228,245,25481.91,Auto,9.6,12,Closed
229,246,35156.39,Auto,1.47,48,Closed
230,247,40269.19,Mortgage,9.97,24,Closed
231,248,43740.07,Auto,1.18,12,Closed
232,249,28433.74,Mortgage,2.5,36,Rejected
233,250,14554.89,Mortgage,1.73,12,Approved
234,251,25973.43,Personal,7.7,12,Rejected
235,252,19996.74,Personal,1.78,48,Closed
236,253,12070.35,Personal,3.63,60,Closed
237,254,26924.3,Mortgage,6.74,24,Rejected
238,255,2110.09,Auto,5.48,12,Closed
239,256,30672.68,Auto,2.23,48,Closed
240,258,49972.35,Personal,4.07,60,Rejected
241,259,46162.27,Personal,6.27,60,Approved
242,260,5400.98,Mortgage,5.85,12,Closed
243,262,7793.59,Personal,8.77,48,Rejected
244,264,3250.86,Personal,2.58,48,Closed
245,265,46912.64,Auto,9.22,60,Rejected
246,266,4030,Mortgage,5.86,36,Rejected
247,267,20171.28,Mortgage,7.84,24,Rejected
248,268,44804.52,Mortgage,5.53,48,Closed
249,269,47470.54,Mortgage,8.07,24,Closed
250,270,23799.25,Auto,2.19,36,Approved
251,271,24933.15,Auto,7.64,60,Approved
252,272,32172.68,Mortgage,8.83,48,Approved
253,273,20974.3,Auto,3.39,24,Approved
254,274,16908.4,Personal,4.32,24,Closed
255,275,37231.92,Auto,6.32,12,Rejected
256,276,30172.56,Personal,8.81,60,Closed
257,277,24601.88,Mortgage,9.17,48,Closed
258,278,5938.58,Personal,5.81,60,Closed
259,279,4374.22,Personal,6.92,12,Approved
260,280,26029.95,Auto,8.86,36,Rejected
261,281,31352.15,Mortgage,3.08,60,Rejected
262,282,33218.07,Auto,8.43,12,Closed
263,283,44849.62,Auto,3.36,36,Approved
264,285,7897.35,Mortgage,9.41,36,Rejected
265,286,39927.12,Auto,5.6,48,Rejected
266,287,34138.85,Auto,1.84,24,Closed
267,288,41573.42,Personal,9.06,36,Rejected
268,289,42324.38,Personal,6.26,24,Approved
269,290,17931.1,Auto,1.64,48,Rejected
270,291,13900.17,Auto,1.09,36,Closed
271,292,28079.07,Auto,3.35,24,Rejected
272,293,15631.78,Auto,2.08,36,Closed
273,294,18134.58,Auto,6.66,12,Closed
274,295,4388.84,Mortgage,6.37,36,Approved
275,296,49576.82,Auto,8.57,36,Closed
276,297,16155.55,Auto,5.62,60,Closed
277,298,39223.59,Personal,3.28,60,Rejected
278,299,49664.76,Mortgage,1.45,48,Rejected
279,300,48487.17,Personal,1.09,48,Rejected
280,301,32060.27,Auto,9.33,48,Approved
281,302,27394.41,Auto,2.3,24,Approved
282,303,16154.55,Auto,5.49,48,Rejected
283,304,43213.83,Auto,8.15,48,Approved
284,305,17561.76,Auto,9.36,60,Rejected
285,306,6229.47,Mortgage,2.82,36,Approved
286,307,15410.82,Mortgage,3.09,48,Closed
287,308,16439.77,Mortgage,2.62,48,Rejected
288,309,36205.78,Mortgage,2.43,36,Rejected
289,310,9307.56,Mortgage,5.09,60,Approved
290,311,16526.3,Personal,6.72,60,Approved
291,312,4752.73,Personal,7.36,36,Closed
292,313,42571.66,Mortgage,3.94,60,Approved
293,316,22070.75,Auto,8.99,24,Rejected
294,317,9152.22,Mortgage,8.83,36,Approved
295,318,19839.18,Mortgage,5.9,24,Rejected
296,319,45434.43,Auto,3.19,36,Closed
297,320,7794.24,Personal,9.75,12,Rejected
298,321,38486.39,Personal,8.3,36,Approved
299,322,3311.62,Personal,1.15,36,Rejected
300,323,16272.3,Personal,5.23,36,Rejected
301,324,42499.94,Auto,1.92,12,Closed
302,325,22804.2,Personal,2.19,60,Approved
303,326,35432.01,Mortgage,1.01,48,Closed
304,327,6073.55,Mortgage,7.19,24,Closed
305,328,34487.86,Mortgage,3.27,24,Closed
306,329,41132.01,Personal,3.74,24,Approved
307,330,40457.05,Mortgage,1.42,48,Rejected
308,331,22504.62,Mortgage,1.07,60,Approved
309,332,45302.92,Mortgage,8.13,12,Rejected
310,333,29173.77,Mortgage,6.95,36,Closed
311,334,41075.72,Auto,4.44,36,Rejected
312,335,11459.51,Personal,1.63,60,Approved
313,336,11301.79,Personal,7.98,12,Approved
314,339,34139.18,Personal,2.25,60,Rejected
315,340,12591.94,Auto,6.87,60,Approved
316,341,20581.51,Mortgage,1.64,60,Approved
317,342,13660.6,Auto,2.49,36,Rejected
318,343,4338.17,Personal,5.24,12,Closed
319,344,10993.12,Auto,3.24,24,Approved
320,346,12468.06,Mortgage,8.28,36,Approved
321,348,35146.96,Auto,9.67,48,Closed
322,349,30505.08,Auto,4.4,60,Closed
323,350,37554.64,Auto,6.12,12,Rejected
324,351,33029.98,Personal,6.08,24,Closed
325,352,11926.68,Mortgage,6.85,60,Approved
326,353,25544.4,Auto,3.19,36,Closed
327,354,9655.5,Mortgage,9.3,48,Approved
328,355,13423.36,Mortgage,3.39,36,Approved
329,357,36705.32,Auto,7.89,12,Approved
330,358,39359.67,Auto,8.93,12,Approved
331,359,2472.9,Personal,5.11,48,Closed
332,360,19724.56,Personal,7.41,48,Rejected
333,361,28207.19,Personal,1.77,60,Closed
334,362,8334.03,Mortgage,8,36,Closed
335,363,42578.77,Auto,7.8,24,Rejected
336,364,7840.41,Auto,4.7,24,Closed
337,365,32188.77,Auto,3.82,24,Rejected
338,366,28106.17,Personal,4.42,48,Approved
339,367,42616.35,Mortgage,1.82,60,Closed
340,368,16278.73,Mortgage,6.74,12,Approved
341,369,14920.1,Personal,9.22,12,Approved
342,370,42474.24,Auto,6.99,60,Rejected
343,371,11848.89,Auto,6.22,48,Closed
344,372,37556.03,Mortgage,9.92,24,Approved
345,373,10366.15,Mortgage,5.88,36,Approved
346,374,43909.08,Auto,4.11,48,Approved
347,375,42114.11,Personal,7.34,24,Rejected
348,376,39585.69,Personal,5.69,12,Rejected
349,377,25082.09,Mortgage,9.75,60,Approved
350,378,2658.12,Personal,9.08,60,Closed
351,379,7490.79,Personal,9.52,24,Rejected
352,380,23373.65,Auto,1.01,48,Approved
353,381,3138.73,Auto,4.01,24,Approved
354,382,4110.15,Personal,6.64,48,Rejected
355,383,7149.69,Mortgage,3.77,12,Approved
356,384,13781.49,Auto,6.91,60,Closed
357,385,37716.82,Auto,7.43,48,Rejected
358,386,3351.14,Auto,6.61,12,Rejected
359,387,49198.33,Mortgage,5.12,36,Closed
360,388,14417.65,Auto,7.27,24,Approved
361,389,16689.69,Auto,8.02,48,Rejected
362,390,13146.36,Personal,7.26,24,Closed
363,391,30517.15,Mortgage,8.31,24,Closed
364,392,1951.9,Personal,9.53,60,Approved
365,393,5584.91,Personal,1.92,24,Rejected
366,394,5840.09,Personal,9.16,36,Rejected
367,395,33562.09,Personal,3.46,60,Closed
368,396,17146.57,Personal,6.07,24,Closed
369,397,22437.22,Personal,9.48,36,Rejected
370,398,47548.69,Auto,6.58,48,Approved
371,399,10802.1,Mortgage,1.76,12,Approved
372,400,4439.64,Personal,5.49,36,Approved
373,401,22629.74,Mortgage,9.05,48,Closed
374,402,9039.59,Mortgage,4.71,48,Closed
375,404,21096.47,Mortgage,8.15,12,Rejected
376,405,33812.91,Mortgage,9.16,24,Closed
377,406,12899.74,Mortgage,3.37,24,Closed
378,407,43922.23,Mortgage,5.47,24,Rejected
379,408,18759.95,Auto,4.02,36,Closed
380,409,46768.36,Auto,5.81,12,Closed
381,410,25127.37,Personal,1.17,60,Approved
382,411,36610.16,Mortgage,3.18,12,Approved
383,412,42601.83,Mortgage,9.77,60,Rejected
384,413,26956.27,Auto,6.43,48,Approved
385,414,42665.85,Auto,2.56,24,Closed
386,415,19521.11,Auto,5.57,60,Approved
387,416,18806.8,Mortgage,7.28,24,Approved
388,417,39909.11,Auto,6.43,12,Closed
389,418,12822.22,Mortgage,5.52,24,Closed
390,419,36134.89,Auto,7.07,24,Closed
391,420,4777.26,Mortgage,2.5,36,Approved
392,421,32145.63,Personal,4.94,60,Approved
393,422,47153.58,Auto,7.75,36,Approved
394,423,23366.83,Personal,6.22,12,Rejected
395,424,21382.29,Auto,9.16,48,Approved
396,425,27486.5,Auto,4.99,48,Rejected
397,426,36258.74,Mortgage,2.19,24,Closed
398,427,18582.98,Personal,1.44,48,Closed
399,428,1006.37,Mortgage,5.3,36,Rejected
400,429,25602.15,Mortgage,4.94,24,Closed
401,430,21544.63,Mortgage,3.31,24,Closed
402,431,27102.45,Mortgage,6.31,60,Rejected
403,432,36050.3,Auto,3.25,24,Rejected
404,433,14886.16,Mortgage,2.95,48,Approved
405,434,25757.72,Auto,6.6,60,Approved
406,435,13416.05,Auto,9.5,36,Rejected
407,436,23507.99,Mortgage,2.82,48,Rejected
408,437,17882.42,Auto,2.65,48,Rejected
409,438,19083.02,Personal,5.67,48,Rejected
410,439,29388.69,Personal,2.07,36,Rejected
411,440,34790.94,Personal,3.65,60,Approved
412,441,1620.27,Personal,9.92,60,Rejected
413,442,43955.42,Auto,8.57,48,Closed
414,443,18852.44,Auto,7.36,24,Approved
415,444,32536.91,Personal,1.23,24,Closed
416,445,6997.23,Personal,3.39,48,Approved
417,446,29001.35,Personal,6.13,24,Closed
418,447,34244.52,Personal,7.39,36,Closed
419,448,8714.46,Auto,7.02,60,Rejected
420,449,45695.59,Personal,2.67,36,Rejected
421,450,38115.85,Personal,5.2,48,Approved
422,451,27162.06,Mortgage,2.79,24,Approved
423,452,9137.24,Mortgage,9.31,48,Rejected
424,453,43412.02,Auto,6.02,36,Closed
425,454,4362.67,Personal,4.51,60,Approved
426,455,6643.41,Personal,9.26,12,Approved
427,456,35210.54,Mortgage,9.14,48,Rejected
428,457,13439.18,Personal,5.54,48,Rejected
429,458,23506.58,Personal,7.18,48,Approved
430,461,5110.79,Mortgage,5.95,60,Rejected
431,462,37136.25,Personal,8.62,36,Approved
432,463,12759.52,Personal,6.37,12,Approved
433,464,37188.05,Personal,5.13,48,Closed
434,465,43399.25,Personal,6.98,36,Approved
435,466,27282.32,Auto,8.31,60,Closed
436,467,35612.45,Mortgage,8.09,24,Rejected
437,468,2809.95,Auto,4.34,60,Rejected
438,469,2800.66,Auto,9.42,60,Approved
439,470,10660.95,Auto,1.14,24,Rejected
440,471,18560.78,Auto,5.06,24,Rejected
441,472,9956.41,Personal,9.17,36,Approved
442,473,32113.05,Personal,7.26,12,Approved
443,474,14567.49,Personal,7.34,12,Approved
444,475,42441.8,Personal,2.41,60,Rejected
445,476,28469.59,Mortgage,6.24,24,Closed
446,477,19525.9,Mortgage,9.7,60,Rejected
447,478,44760.83,Personal,2.9,12,Rejected
448,479,41589.79,Personal,3.94,12,Closed
449,480,41181.72,Personal,4.5,48,Closed
450,481,36689.21,Personal,4.24,12,Closed
451,482,31096.5,Personal,6.64,48,Closed
452,484,21707.42,Mortgage,5.55,36,Closed
453,485,32709.08,Personal,4.6,12,Rejected
454,486,9470.7,Mortgage,6.8,48,Rejected
455,487,41562.92,Mortgage,3.18,36,Approved
456,488,46994.84,Auto,5.98,36,Approved
457,489,5801.44,Personal,7.66,60,Closed
458,490,2100.33,Personal,7.24,24,Rejected
459,491,7992.31,Mortgage,8.51,36,Approved
460,492,38235.23,Mortgage,9.61,60,Closed
461,494,19240.23,Mortgage,9.44,36,Approved
462,495,4093.06,Personal,1.16,60,Rejected
463,496,22195.3,Mortgage,6.66,60,Approved
464,497,30589.09,Mortgage,3.41,48,Closed
465,498,31796.97,Personal,8.28,60,Closed
466,499,26426.85,Mortgage,8.37,36,Approved
467,500,46967.29,Auto,1.43,36,Approved
468,501,27025.69,Personal,6.36,12,Closed
469,502,43102.66,Mortgage,8.66,36,Closed
470,503,49658.26,Mortgage,6.29,24,Approved
471,504,12257.52,Personal,4.83,12,Closed
472,505,14011.24,Mortgage,1.69,60,Closed
473,506,26571.61,Auto,7.57,12,Approved
474,507,9936.54,Auto,1.67,24,Approved
475,508,28642.13,Personal,6.38,12,Closed
476,509,34535.11,Auto,9.26,24,Closed
477,510,3959.48,Personal,4.77,60,Rejected
478,511,34388.35,Auto,7.93,12,Rejected
479,512,8813.88,Personal,8.2,36,Rejected
480,513,15666.61,Mortgage,1.09,36,Approved
481,514,37201.68,Mortgage,9.23,24,Closed
482,515,9015.91,Personal,2.7,24,Approved
483,516,27052.47,Auto,3.54,24,Rejected
484,517,29869.59,Personal,8.84,60,Rejected
485,518,9053.54,Mortgage,7.18,24,Approved
486,519,14464.29,Personal,4.35,36,Closed
487,520,30716.73,Mortgage,1.79,36,Rejected
488,521,23598.73,Personal,4.48,24,Approved
489,522,33339.09,Personal,9.7,48,Closed
490,523,42881.13,Auto,1.94,24,Closed
491,525,4461,Personal,3.93,12,Closed
492,526,33669.6,Personal,6.89,12,Closed
493,527,38761.54,Auto,6.68,36,Rejected
494,528,23016.04,Personal,3.93,12,Approved
495,529,20301.56,Personal,1.49,12,Approved
496,530,30241.82,Personal,2.34,12,Rejected
497,531,28021.24,Auto,6.09,60,Closed
498,532,25018.36,Auto,9.54,60,Rejected
499,534,9501.52,Personal,2.02,48,Rejected
500,535,34379.24,Personal,8.88,36,Rejected
501,536,37325.65,Personal,3.1,60,Approved
502,537,45163.8,Auto,9.19,60,Rejected
503,538,47309.91,Personal,7.83,36,Approved
504,539,25885.42,Personal,9.65,60,Rejected
505,540,22248.36,Personal,4.98,36,Approved
506,542,36896.38,Mortgage,7.62,24,Closed
507,543,1841.4,Auto,5.47,12,Closed
508,544,9533.05,Personal,9.77,36,Rejected
509,545,45475.65,Personal,3.19,36,Approved
510,546,10576.3,Auto,9.88,24,Approved
511,547,12195.68,Personal,8.31,60,Rejected
512,548,47033.75,Personal,6.54,36,Approved
513,549,15419.74,Personal,1.68,36,Rejected
514,550,15231.69,Mortgage,3.33,60,Approved
515,551,46261.73,Mortgage,8.57,24,Rejected
516,552,19379.02,Auto,7.55,36,Approved
517,553,25203.16,Auto,9.66,36,Closed
518,554,28459.96,Personal,4.57,60,Approved
519,555,43545.84,Personal,9.05,12,Rejected
520,556,4801,Personal,8.76,60,Approved
521,557,13781.96,Personal,9.7,60,Approved
522,558,29763.4,Mortgage,3.45,12,Approved
523,559,22296.03,Personal,5.45,36,Rejected
524,560,14635.76,Auto,1.73,12,Rejected
525,561,21072.47,Auto,6.32,48,Approved
526,562,48345.89,Mortgage,7.59,12,Rejected
527,563,2030.6,Auto,3.14,24,Rejected
528,564,8201.75,Auto,2.53,36,Closed
529,565,1914.1,Auto,6.76,48,Approved
530,566,30076.44,Mortgage,4.54,48,Closed
531,567,1633.91,Mortgage,4.84,12,Rejected
532,568,23246.78,Personal,5.24,48,Approved
533,569,43100.61,Auto,5.6,36,Rejected
534,570,5763.04,Auto,2.76,36,Closed
535,571,18893.53,Auto,6.2,60,Closed
536,572,19521.9,Personal,1.62,60,Closed
537,573,18750.46,Mortgage,2.02,24,Rejected
538,574,36645.64,Personal,7.4,12,Approved
539,575,1216.07,Personal,7.58,48,Approved
540,576,39218.29,Auto,3.4,60,Closed
541,577,42113.03,Personal,2.66,36,Approved
542,578,22141.71,Auto,1.49,48,Approved
543,579,44470.69,Mortgage,4.77,12,Closed
544,580,19670.91,Personal,5.58,48,Approved
545,581,35041.42,Auto,9.1,48,Closed
546,582,20052.42,Personal,1.02,24,Rejected
547,583,2854.33,Auto,4.65,12,Rejected
548,584,5087.89,Personal,4.77,48,Rejected
549,585,22660.42,Auto,8.98,36,Closed
550,586,49514.71,Auto,2.76,36,Approved
551,587,9700.29,Auto,1.6,24,Closed
552,588,44883.52,Auto,4.43,60,Rejected
553,589,46050.32,Mortgage,6.51,12,Approved
554,590,21072.79,Mortgage,8.72,48,Approved
555,591,23629.45,Mortgage,3.42,24,Approved
556,592,25638.2,Mortgage,3.26,36,Approved
557,593,38749.94,Auto,3.93,48,Rejected
558,594,7062.49,Mortgage,2.06,36,Closed
559,595,17103.23,Mortgage,9.79,48,Approved
560,596,9364.41,Personal,5.87,12,Approved
561,597,44042.29,Auto,3.45,36,Approved
562,598,4455.39,Personal,4.26,24,Rejected
563,599,37637.5,Mortgage,8.79,24,Rejected
564,600,22547.32,Mortgage,7.06,24,Closed
565,601,36015.6,Mortgage,5.98,24,Closed
566,602,44604.87,Mortgage,7.52,60,Approved
567,603,17643.45,Auto,7.8,48,Rejected
568,604,12123.07,Auto,2.75,48,Approved
569,605,32860.71,Mortgage,2.43,48,Rejected
570,606,49878.77,Auto,9.7,60,Rejected
571,607,36745.91,Mortgage,2.67,24,Closed
572,608,39985.5,Mortgage,5.18,12,Closed
573,609,31863,Personal,9.85,24,Rejected
574,610,19040.99,Mortgage,4.75,60,Approved
575,611,33077.57,Personal,5.63,12,Rejected
576,612,7298.96,Personal,8.19,60,Rejected
577,613,24952.08,Auto,4.06,36,Rejected
578,614,29079.85,Personal,4.88,48,Closed
579,615,45430.75,Auto,3.99,48,Rejected
580,616,46066.25,Auto,3.59,60,Rejected
