DateSK,FullDate,Year,Quarter,Month,MonthName,Day,DayName,IsWeekend
92,2000-08-08,2000,3,8,August,8,Tuesday,No
93,2000-08-11,2000,3,8,August,11,Friday,No
94,2000-08-12,2000,3,8,August,12,Saturday,Yes
95,2000-08-15,2000,3,8,August,15,Tuesday,No
96,2000-08-16,2000,3,8,August,16,Wednesday,No
97,2000-08-17,2000,3,8,August,17,Thursday,No
98,2000-08-18,2000,3,8,August,18,Friday,No
99,2000-08-20,2000,3,8,August,20,Sunday,Yes
100,2000-08-21,2000,3,8,August,21,Monday,No
101,2000-08-23,2000,3,8,August,23,Wednesday,No
102,2000-08-25,2000,3,8,August,25,Friday,No
103,2000-08-26,2000,3,8,August,26,Saturday,Yes
104,2000-08-28,2000,3,8,August,28,Monday,No
105,2000-08-29,2000,3,8,August,29,Tuesday,No
106,2000-08-30,2000,3,8,August,30,Wednesday,No
107,2000-09-02,2000,3,9,September,2,Saturday,Yes
108,2000-09-03,2000,3,9,September,3,Sunday,Yes
109,2000-09-04,2000,3,9,September,4,Monday,No
110,2000-09-05,2000,3,9,September,5,Tuesday,No
111,2000-09-09,2000,3,9,September,9,Saturday,Yes
112,2000-09-14,2000,3,9,September,14,Thursday,No
113,2000-09-16,2000,3,9,September,16,Saturday,Yes
114,2000-09-21,2000,3,9,September,21,Thursday,No
115,2000-09-28,2000,3,9,September,28,Thursday,No
116,2000-09-29,2000,3,9,September,29,Friday,No
117,2000-09-30,2000,3,9,September,30,Saturday,Yes
118,2000-10-01,2000,4,10,October,1,Sunday,Yes
119,2000-10-02,2000,4,10,October,2,Monday,No
120,2000-10-03,2000,4,10,October,3,Tuesday,No
121,2000-10-06,2000,4,10,October,6,Friday,No
122,2000-10-07,2000,4,10,October,7,Saturday,Yes
123,2000-10-11,2000,4,10,October,11,Wednesday,No
124,2000-10-12,2000,4,10,October,12,Thursday,No
125,2000-10-14,2000,4,10,October,14,Saturday,Yes
126,2000-10-15,2000,4,10,October,15,Sunday,Yes
127,2000-10-18,2000,4,10,October,18,Wednesday,No
128,2000-10-23,2000,4,10,October,23,Monday,No
129,2000-10-25,2000,4,10,October,25,Wednesday,No
130,2000-10-26,2000,4,10,October,26,Thursday,No
131,2000-11-01,2000,4,11,November,1,Wednesday,No
132,2000-11-05,2000,4,11,November,5,Sunday,Yes
133,2000-11-06,2000,4,11,November,6,Monday,No
134,2000-11-10,2000,4,11,November,10,Friday,No
135,2000-11-12,2000,4,11,November,12,Sunday,Yes
136,2000-11-13,2000,4,11,November,13,Monday,No
137,2000-11-14,2000,4,11,November,14,Tuesday,No
138,2000-11-17,2000,4,11,November,17,Friday,No
139,2000-11-18,2000,4,11,November,18,Saturday,Yes
140,2000-11-21,2000,4,11,November,21,Tuesday,No
141,2000-11-24,2000,4,11,November,24,Friday,No
142,2000-11-25,2000,4,11,November,25,Saturday,Yes
143,2000-11-26,2000,4,11,November,26,Sunday,Yes
144,2000-11-29,2000,4,11,November,29,Wednesday,No
145,2000-11-30,2000,4,11,November,30,Thursday,No
146,2000-12-02,2000,4,12,December,2,Saturday,Yes
147,2000-12-04,2000,4,12,December,4,Monday,No
148,2000-12-07,2000,4,12,December,7,Thursday,No
149,2000-12-11,2000,4,12,December,11,Monday,No
150,2000-12-19,2000,4,12,December,19,Tuesday,No
151,2000-12-20,2000,4,12,December,20,Wednesday,No
152,2000-12-21,2000,4,12,December,21,Thursday,No
153,2000-12-22,2000,4,12,December,22,Friday,No
154,2000-12-23,2000,4,12,December,23,Saturday,Yes
155,2000-12-25,2000,4,12,December,25,Monday,No
156,2000-12-26,2000,4,12,December,26,Tuesday,No
157,2000-12-27,2000,4,12,December,27,Wednesday,No
158,2000-12-28,2000,4,12,December,28,Thursday,No
159,2000-12-30,2000,4,12,December,30,Saturday,Yes
160,2000-12-31,2000,4,12,December,31,Sunday,Yes
161,2001-01-01,2001,1,1,January,1,Monday,No
162,2001-01-03,2001,1,1,January,3,Wednesday,No
163,2001-01-05,2001,1,1,January,5,Friday,No
164,2001-01-06,2001,1,1,January,6,Saturday,Yes
165,2001-01-10,2001,1,1,January,10,Wednesday,No
166,2001-01-11,2001,1,1,January,11,Thursday,No
167,2001-01-12,2001,1,1,January,12,Friday,No
168,2001-01-20,2001,1,1,January,20,Saturday,Yes
169,2001-01-21,2001,1,1,January,21,Sunday,Yes
170,2001-01-24,2001,1,1,January,24,Wednesday,No
171,2001-01-27,2001,1,1,January,27,Saturday,Yes
172,2001-01-31,2001,1,1,January,31,Wednesday,No
173,2001-02-02,2001,1,2,February,2,Friday,No
174,2001-02-03,2001,1,2,February,3,Saturday,Yes
175,2001-02-04,2001,1,2,February,4,Sunday,Yes
176,2001-02-05,2001,1,2,February,5,Monday,No
177,2001-02-06,2001,1,2,February,6,Tuesday,No
178,2001-02-10,2001,1,2,February,10,Saturday,Yes
179,2001-02-13,2001,1,2,February,13,Tuesday,No
180,2001-02-15,2001,1,2,February,15,Thursday,No
181,2001-02-20,2001,1,2,February,20,Tuesday,No
182,2001-02-21,2001,1,2,February,21,Wednesday,No
183,2001-02-24,2001,1,2,February,24,Saturday,Yes
184,2001-02-25,2001,1,2,February,25,Sunday,Yes
185,2001-03-02,2001,1,3,March,2,Friday,No
186,2001-03-03,2001,1,3,March,3,Saturday,Yes
187,2001-03-07,2001,1,3,March,7,Wednesday,No
188,2001-03-09,2001,1,3,March,9,Friday,No
189,2001-03-12,2001,1,3,March,12,Monday,No
190,2001-03-15,2001,1,3,March,15,Thursday,No
191,2001-03-16,2001,1,3,March,16,Friday,No
192,2001-03-20,2001,1,3,March,20,Tuesday,No
193,2001-03-22,2001,1,3,March,22,Thursday,No
194,2001-03-24,2001,1,3,March,24,Saturday,Yes
195,2001-03-26,2001,1,3,March,26,Monday,No
196,2001-03-28,2001,1,3,March,28,Wednesday,No
197,2001-04-01,2001,2,4,April,1,Sunday,Yes
198,2001-04-04,2001,2,4,April,4,Wednesday,No
199,2001-04-08,2001,2,4,April,8,Sunday,Yes
200,2001-04-09,2001,2,4,April,9,Monday,No
201,2001-04-10,2001,2,4,April,10,Tuesday,No
202,2001-04-12,2001,2,4,April,12,Thursday,No
203,2001-04-13,2001,2,4,April,13,Friday,No
204,2001-04-15,2001,2,4,April,15,Sunday,Yes
205,2001-04-16,2001,2,4,April,16,Monday,No
206,2001-04-18,2001,2,4,April,18,Wednesday,No
207,2001-04-26,2001,2,4,April,26,Thursday,No
208,2001-04-28,2001,2,4,April,28,Saturday,Yes
209,2001-04-29,2001,2,4,April,29,Sunday,Yes
210,2001-05-01,2001,2,5,May,1,Tuesday,No
211,2001-05-03,2001,2,5,May,3,Thursday,No
212,2001-05-05,2001,2,5,May,5,Saturday,Yes
213,2001-05-07,2001,2,5,May,7,Monday,No
214,2001-05-08,2001,2,5,May,8,Tuesday,No
215,2001-05-12,2001,2,5,May,12,Saturday,Yes
216,2001-05-13,2001,2,5,May,13,Sunday,Yes
217,2001-05-19,2001,2,5,May,19,Saturday,Yes
218,2001-05-25,2001,2,5,May,25,Friday,No
219,2001-05-26,2001,2,5,May,26,Saturday,Yes
220,2001-05-27,2001,2,5,May,27,Sunday,Yes
221,2001-05-28,2001,2,5,May,28,Monday,No
222,2001-05-31,2001,2,5,May,31,Thursday,No
223,2001-06-02,2001,2,6,June,2,Saturday,Yes
224,2001-06-03,2001,2,6,June,3,Sunday,Yes
225,2001-06-04,2001,2,6,June,4,Monday,No
226,2001-06-05,2001,2,6,June,5,Tuesday,No
227,2001-06-14,2001,2,6,June,14,Thursday,No
228,2001-06-16,2001,2,6,June,16,Saturday,Yes
229,2001-06-17,2001,2,6,June,17,Sunday,Yes
230,2001-06-19,2001,2,6,June,19,Tuesday,No
231,2001-06-22,2001,2,6,June,22,Friday,No
232,2001-06-23,2001,2,6,June,23,Saturday,Yes
233,2001-06-29,2001,2,6,June,29,Friday,No
234,2001-06-30,2001,2,6,June,30,Saturday,Yes
235,2001-07-04,2001,3,7,July,4,Wednesday,No
236,2001-07-07,2001,3,7,July,7,Saturday,Yes
237,2001-07-09,2001,3,7,July,9,Monday,No
238,2001-07-10,2001,3,7,July,10,Tuesday,No
239,2001-07-12,2001,3,7,July,12,Thursday,No
240,2001-07-16,2001,3,7,July,16,Monday,No
241,2001-07-21,2001,3,7,July,21,Saturday,Yes
242,2001-07-22,2001,3,7,July,22,Sunday,Yes
243,2001-07-24,2001,3,7,July,24,Tuesday,No
244,2001-07-25,2001,3,7,July,25,Wednesday,No
245,2001-08-01,2001,3,8,August,1,Wednesday,No
246,2001-08-03,2001,3,8,August,3,Friday,No
247,2001-08-07,2001,3,8,August,7,Tuesday,No
248,2001-08-08,2001,3,8,August,8,Wednesday,No
249,2001-08-09,2001,3,8,August,9,Thursday,No
250,2001-08-11,2001,3,8,August,11,Saturday,Yes
251,2001-08-13,2001,3,8,August,13,Monday,No
252,2001-08-16,2001,3,8,August,16,Thursday,No
253,2001-08-17,2001,3,8,August,17,Friday,No
254,2001-08-19,2001,3,8,August,19,Sunday,Yes
255,2001-08-20,2001,3,8,August,20,Monday,No
256,2001-08-23,2001,3,8,August,23,Thursday,No
257,2001-08-27,2001,3,8,August,27,Monday,No
258,2001-08-28,2001,3,8,August,28,Tuesday,No
259,2001-08-29,2001,3,8,August,29,Wednesday,No
260,2001-09-02,2001,3,9,September,2,Sunday,Yes
261,2001-09-03,2001,3,9,September,3,Monday,No
262,2001-09-07,2001,3,9,September,7,Friday,No
263,2001-09-09,2001,3,9,September,9,Sunday,Yes
264,2001-09-11,2001,3,9,September,11,Tuesday,No
265,2001-09-14,2001,3,9,September,14,Friday,No
266,2001-09-15,2001,3,9,September,15,Saturday,Yes
267,2001-09-16,2001,3,9,September,16,Sunday,Yes
268,2001-09-17,2001,3,9,September,17,Monday,No
269,2001-09-18,2001,3,9,September,18,Tuesday,No
270,2001-09-26,2001,3,9,September,26,Wednesday,No
271,2001-09-27,2001,3,9,September,27,Thursday,No
272,2001-10-02,2001,4,10,October,2,Tuesday,No
273,2001-10-06,2001,4,10,October,6,Saturday,Yes
274,2001-10-09,2001,4,10,October,9,Tuesday,No
275,2001-10-12,2001,4,10,October,12,Friday,No
276,2001-10-13,2001,4,10,October,13,Saturday,Yes
277,2001-10-15,2001,4,10,October,15,Monday,No
278,2001-10-19,2001,4,10,October,19,Friday,No
279,2001-10-20,2001,4,10,October,20,Saturday,Yes
280,2001-10-21,2001,4,10,October,21,Sunday,Yes
281,2001-10-22,2001,4,10,October,22,Monday,No
282,2001-10-26,2001,4,10,October,26,Friday,No
283,2001-10-29,2001,4,10,October,29,Monday,No
284,2001-10-31,2001,4,10,October,31,Wednesday,No
285,2001-11-02,2001,4,11,November,2,Friday,No
286,2001-11-06,2001,4,11,November,6,Tuesday,No
287,2001-11-07,2001,4,11,November,7,Wednesday,No
288,2001-11-09,2001,4,11,November,9,Friday,No
289,2001-11-12,2001,4,11,November,12,Monday,No
290,2001-11-13,2001,4,11,November,13,Tuesday,No
291,2001-11-15,2001,4,11,November,15,Thursday,No
292,2001-11-16,2001,4,11,November,16,Friday,No
293,2001-11-19,2001,4,11,November,19,Monday,No
294,2001-11-22,2001,4,11,November,22,Thursday,No
295,2001-11-24,2001,4,11,November,24,Saturday,Yes
296,2001-11-28,2001,4,11,November,28,Wednesday,No
297,2001-11-30,2001,4,11,November,30,Friday,No
298,2001-12-01,2001,4,12,December,1,Saturday,Yes
299,2001-12-04,2001,4,12,December,4,Tuesday,No
300,2001-12-06,2001,4,12,December,6,Thursday,No
301,2001-12-08,2001,4,12,December,8,Saturday,Yes
302,2001-12-14,2001,4,12,December,14,Friday,No
303,2001-12-17,2001,4,12,December,17,Monday,No
304,2001-12-18,2001,4,12,December,18,Tuesday,No
305,2001-12-19,2001,4,12,December,19,Wednesday,No
306,2001-12-20,2001,4,12,December,20,Thursday,No
307,2001-12-23,2001,4,12,December,23,Sunday,Yes
308,2001-12-24,2001,4,12,December,24,Monday,No
309,2001-12-25,2001,4,12,December,25,Tuesday,No
310,2002-01-04,2002,1,1,January,4,Friday,No
311,2002-01-05,2002,1,1,January,5,Saturday,Yes
312,2002-01-06,2002,1,1,January,6,Sunday,Yes
313,2002-01-10,2002,1,1,January,10,Thursday,No
314,2002-01-13,2002,1,1,January,13,Sunday,Yes
315,2002-01-14,2002,1,1,January,14,Monday,No
316,2002-01-16,2002,1,1,January,16,Wednesday,No
317,2002-01-19,2002,1,1,January,19,Saturday,Yes
318,2002-01-21,2002,1,1,January,21,Monday,No
319,2002-01-23,2002,1,1,January,23,Wednesday,No
320,2002-01-24,2002,1,1,January,24,Thursday,No
321,2002-01-25,2002,1,1,January,25,Friday,No
322,2002-01-27,2002,1,1,January,27,Sunday,Yes
323,2002-01-30,2002,1,1,January,30,Wednesday,No
324,2002-01-31,2002,1,1,January,31,Thursday,No
325,2002-02-03,2002,1,2,February,3,Sunday,Yes
326,2002-02-05,2002,1,2,February,5,Tuesday,No
327,2002-02-08,2002,1,2,February,8,Friday,No
328,2002-02-10,2002,1,2,February,10,Sunday,Yes
329,2002-02-11,2002,1,2,February,11,Monday,No
330,2002-02-16,2002,1,2,February,16,Saturday,Yes
331,2002-02-17,2002,1,2,February,17,Sunday,Yes
332,2002-02-18,2002,1,2,February,18,Monday,No
333,2002-02-19,2002,1,2,February,19,Tuesday,No
334,2002-02-24,2002,1,2,February,24,Sunday,Yes
335,2002-02-25,2002,1,2,February,25,Monday,No
336,2002-03-02,2002,1,3,March,2,Saturday,Yes
337,2002-03-05,2002,1,3,March,5,Tuesday,No
338,2002-03-06,2002,1,3,March,6,Wednesday,No
339,2002-03-08,2002,1,3,March,8,Friday,No
340,2002-03-11,2002,1,3,March,11,Monday,No
341,2002-03-12,2002,1,3,March,12,Tuesday,No
342,2002-03-14,2002,1,3,March,14,Thursday,No
343,2002-03-16,2002,1,3,March,16,Saturday,Yes
344,2002-03-20,2002,1,3,March,20,Wednesday,No
345,2002-03-21,2002,1,3,March,21,Thursday,No
346,2002-03-26,2002,1,3,March,26,Tuesday,No
347,2002-03-27,2002,1,3,March,27,Wednesday,No
348,2002-04-04,2002,2,4,April,4,Thursday,No
349,2002-04-06,2002,2,4,April,6,Saturday,Yes
350,2002-04-08,2002,2,4,April,8,Monday,No
351,2002-04-16,2002,2,4,April,16,Tuesday,No
352,2002-04-18,2002,2,4,April,18,Thursday,No
353,2002-04-26,2002,2,4,April,26,Friday,No
354,2002-04-28,2002,2,4,April,28,Sunday,Yes
355,2002-05-01,2002,2,5,May,1,Wednesday,No
356,2002-05-05,2002,2,5,May,5,Sunday,Yes
357,2002-05-06,2002,2,5,May,6,Monday,No
358,2002-05-08,2002,2,5,May,8,Wednesday,No
359,2002-05-10,2002,2,5,May,10,Friday,No
360,2002-05-13,2002,2,5,May,13,Monday,No
361,2002-05-14,2002,2,5,May,14,Tuesday,No
362,2002-05-15,2002,2,5,May,15,Wednesday,No
363,2002-05-16,2002,2,5,May,16,Thursday,No
364,2002-05-17,2002,2,5,May,17,Friday,No
365,2002-05-18,2002,2,5,May,18,Saturday,Yes
366,2002-05-19,2002,2,5,May,19,Sunday,Yes
367,2002-05-20,2002,2,5,May,20,Monday,No
368,2002-05-24,2002,2,5,May,24,Friday,No
369,2002-05-26,2002,2,5,May,26,Sunday,Yes
370,2002-05-27,2002,2,5,May,27,Monday,No
371,2002-05-30,2002,2,5,May,30,Thursday,No
372,2002-06-03,2002,2,6,June,3,Monday,No
373,2002-06-04,2002,2,6,June,4,Tuesday,No
374,2002-06-05,2002,2,6,June,5,Wednesday,No
375,2002-06-06,2002,2,6,June,6,Thursday,No
376,2002-06-09,2002,2,6,June,9,Sunday,Yes
377,2002-06-12,2002,2,6,June,12,Wednesday,No
378,2002-06-13,2002,2,6,June,13,Thursday,No
379,2002-06-14,2002,2,6,June,14,Friday,No
380,2002-06-15,2002,2,6,June,15,Saturday,Yes
381,2002-06-17,2002,2,6,June,17,Monday,No
382,2002-06-22,2002,2,6,June,22,Saturday,Yes
383,2002-06-23,2002,2,6,June,23,Sunday,Yes
384,2002-06-24,2002,2,6,June,24,Monday,No
385,2002-06-26,2002,2,6,June,26,Wednesday,No
386,2002-06-29,2002,2,6,June,29,Saturday,Yes
387,2002-06-30,2002,2,6,June,30,Sunday,Yes
388,2002-07-02,2002,3,7,July,2,Tuesday,No
389,2002-07-04,2002,3,7,July,4,Thursday,No
390,2002-07-07,2002,3,7,July,7,Sunday,Yes
391,2002-07-08,2002,3,7,July,8,Monday,No
392,2002-07-11,2002,3,7,July,11,Thursday,No
393,2002-07-18,2002,3,7,July,18,Thursday,No
394,2002-07-20,2002,3,7,July,20,Saturday,Yes
395,2002-07-24,2002,3,7,July,24,Wednesday,No
396,2002-07-26,2002,3,7,July,26,Friday,No
397,2002-07-29,2002,3,7,July,29,Monday,No
398,2002-07-31,2002,3,7,July,31,Wednesday,No
399,2002-08-02,2002,3,8,August,2,Friday,No
400,2002-08-04,2002,3,8,August,4,Sunday,Yes
401,2002-08-09,2002,3,8,August,9,Friday,No
402,2002-08-12,2002,3,8,August,12,Monday,No
403,2002-08-14,2002,3,8,August,14,Wednesday,No
404,2002-08-17,2002,3,8,August,17,Saturday,Yes
405,2002-08-19,2002,3,8,August,19,Monday,No
406,2002-08-21,2002,3,8,August,21,Wednesday,No
407,2002-08-22,2002,3,8,August,22,Thursday,No
408,2002-08-24,2002,3,8,August,24,Saturday,Yes
409,2002-08-29,2002,3,8,August,29,Thursday,No
410,2002-08-30,2002,3,8,August,30,Friday,No
411,2002-09-03,2002,3,9,September,3,Tuesday,No
412,2002-09-04,2002,3,9,September,4,Wednesday,No
413,2002-09-05,2002,3,9,September,5,Thursday,No
414,2002-09-10,2002,3,9,September,10,Tuesday,No
415,2002-09-14,2002,3,9,September,14,Saturday,Yes
416,2002-09-19,2002,3,9,September,19,Thursday,No
417,2002-09-21,2002,3,9,September,21,Saturday,Yes
418,2002-09-24,2002,3,9,September,24,Tuesday,No
419,2002-09-26,2002,3,9,September,26,Thursday,No
420,2002-09-29,2002,3,9,September,29,Sunday,Yes
421,2002-10-02,2002,4,10,October,2,Wednesday,No
422,2002-10-04,2002,4,10,October,4,Friday,No
423,2002-10-07,2002,4,10,October,7,Monday,No
424,2002-10-10,2002,4,10,October,10,Thursday,No
425,2002-10-13,2002,4,10,October,13,Sunday,Yes
426,2002-10-15,2002,4,10,October,15,Tuesday,No
427,2002-10-19,2002,4,10,October,19,Saturday,Yes
428,2002-10-20,2002,4,10,October,20,Sunday,Yes
429,2002-10-22,2002,4,10,October,22,Tuesday,No
430,2002-10-25,2002,4,10,October,25,Friday,No
431,2002-10-26,2002,4,10,October,26,Saturday,Yes
432,2002-10-30,2002,4,10,October,30,Wednesday,No
433,2002-11-01,2002,4,11,November,1,Friday,No
434,2002-11-03,2002,4,11,November,3,Sunday,Yes
435,2002-11-04,2002,4,11,November,4,Monday,No
436,2002-11-05,2002,4,11,November,5,Tuesday,No
437,2002-11-10,2002,4,11,November,10,Sunday,Yes
438,2002-11-11,2002,4,11,November,11,Monday,No
439,2002-11-14,2002,4,11,November,14,Thursday,No
440,2002-11-17,2002,4,11,November,17,Sunday,Yes
441,2002-11-20,2002,4,11,November,20,Wednesday,No
442,2002-11-22,2002,4,11,November,22,Friday,No
443,2002-11-27,2002,4,11,November,27,Wednesday,No
444,2002-11-29,2002,4,11,November,29,Friday,No
445,2002-12-01,2002,4,12,December,1,Sunday,Yes
446,2002-12-02,2002,4,12,December,2,Monday,No
447,2002-12-03,2002,4,12,December,3,Tuesday,No
448,2002-12-04,2002,4,12,December,4,Wednesday,No
449,2002-12-05,2002,4,12,December,5,Thursday,No
450,2002-12-07,2002,4,12,December,7,Saturday,Yes
451,2002-12-08,2002,4,12,December,8,Sunday,Yes
452,2002-12-10,2002,4,12,December,10,Tuesday,No
453,2002-12-11,2002,4,12,December,11,Wednesday,No
454,2002-12-14,2002,4,12,December,14,Saturday,Yes
455,2002-12-16,2002,4,12,December,16,Monday,No
456,2002-12-17,2002,4,12,December,17,Tuesday,No
457,2002-12-20,2002,4,12,December,20,Friday,No
458,2002-12-21,2002,4,12,December,21,Saturday,Yes
459,2002-12-23,2002,4,12,December,23,Monday,No
460,2002-12-24,2002,4,12,December,24,Tuesday,No
461,2002-12-25,2002,4,12,December,25,Wednesday,No
462,2002-12-27,2002,4,12,December,27,Friday,No
463,2002-12-28,2002,4,12,December,28,Saturday,Yes
464,2003-01-02,2003,1,1,January,2,Thursday,No
465,2003-01-03,2003,1,1,January,3,Friday,No
466,2003-01-04,2003,1,1,January,4,Saturday,Yes
467,2003-01-08,2003,1,1,January,8,Wednesday,No
468,2003-01-11,2003,1,1,January,11,Saturday,Yes
469,2003-01-12,2003,1,1,January,12,Sunday,Yes
470,2003-01-13,2003,1,1,January,13,Monday,No
471,2003-01-14,2003,1,1,January,14,Tuesday,No
472,2003-01-19,2003,1,1,January,19,Sunday,Yes
473,2003-01-22,2003,1,1,January,22,Wednesday,No
474,2003-01-24,2003,1,1,January,24,Friday,No
475,2003-01-26,2003,1,1,January,26,Sunday,Yes
476,2003-01-27,2003,1,1,January,27,Monday,No
477,2003-01-28,2003,1,1,January,28,Tuesday,No
478,2003-01-29,2003,1,1,January,29,Wednesday,No
479,2003-01-30,2003,1,1,January,30,Thursday,No
480,2003-02-01,2003,1,2,February,1,Saturday,Yes
481,2003-02-03,2003,1,2,February,3,Monday,No
482,2003-02-04,2003,1,2,February,4,Tuesday,No
483,2003-02-05,2003,1,2,February,5,Wednesday,No
484,2003-02-06,2003,1,2,February,6,Thursday,No
485,2003-02-08,2003,1,2,February,8,Saturday,Yes
486,2003-02-09,2003,1,2,February,9,Sunday,Yes
487,2003-02-15,2003,1,2,February,15,Saturday,Yes
488,2003-02-17,2003,1,2,February,17,Monday,No
489,2003-02-21,2003,1,2,February,21,Friday,No
490,2003-02-23,2003,1,2,February,23,Sunday,Yes
491,2003-02-25,2003,1,2,February,25,Tuesday,No
492,2003-02-26,2003,1,2,February,26,Wednesday,No
493,2003-03-02,2003,1,3,March,2,Sunday,Yes
494,2003-03-03,2003,1,3,March,3,Monday,No
495,2003-03-04,2003,1,3,March,4,Tuesday,No
496,2003-03-06,2003,1,3,March,6,Thursday,No
497,2003-03-07,2003,1,3,March,7,Friday,No
498,2003-03-08,2003,1,3,March,8,Saturday,Yes
499,2003-03-09,2003,1,3,March,9,Sunday,Yes
500,2003-03-13,2003,1,3,March,13,Thursday,No
501,2003-03-14,2003,1,3,March,14,Friday,No
502,2003-03-16,2003,1,3,March,16,Sunday,Yes
503,2003-03-17,2003,1,3,March,17,Monday,No
504,2003-03-21,2003,1,3,March,21,Friday,No
