CardSK,CardID,Card Type,Credit Limit,Credit Card Balance,Rewards Points
62,67,AMEX,3075.82,190.61,466
63,69,AMEX,7657.6,2925.25,71
64,70,Visa,4900.65,2837.64,7405
65,71,AMEX,8291.94,2230.04,5695
66,72,Visa,3866.07,1689.29,6865
67,73,Visa,5748.09,2421.45,257
68,74,AMEX,8505.91,2587.65,7360
69,76,MasterCard,6771.04,826.25,5136
70,77,AMEX,6816.02,2876.14,1868
71,78,MasterCard,4167.36,2895.65,2974
72,79,AMEX,7692.29,1834.95,9311
73,80,AMEX,5756.9,4821.45,5682
74,81,AMEX,6346.33,3725.51,8898
75,82,MasterCard,4514.98,3553.84,4919
76,83,MasterCard,1809.62,4365.64,9222
77,84,AMEX,7285.15,1694.55,6577
78,85,AMEX,4087.24,1063.35,697
79,86,MasterCard,6476.25,2191.43,4225
80,87,AMEX,9170.78,2987.74,8866
81,88,Visa,8514.73,2788,7888
82,89,Visa,6663.31,1102.03,4072
83,90,MasterCard,3047.11,1343.47,1434
84,91,Visa,5646.98,4628.69,6763
85,92,MasterCard,4373.69,405.51,1807
86,93,Visa,6319.51,2520.25,7430
87,94,MasterCard,7582.01,2373.34,2695
88,95,Visa,7536.36,1916.85,2170
89,96,MasterCard,1512.66,3918.05,1024
90,97,Visa,4355.01,4612.91,2512
91,98,AMEX,4510.45,4986.37,7899
92,99,MasterCard,2685.39,613.7,3175
93,100,AMEX,5380.02,214.28,8789
94,101,MasterCard,3511.78,1376.5,9703
95,102,MasterCard,4126.54,3412.51,31
96,103,MasterCard,6153.34,2022.65,4147
97,104,AMEX,8627.02,2329.53,7328
98,105,MasterCard,4854.94,4997.11,4710
99,106,MasterCard,5861.01,2456.68,6998
100,107,MasterCard,8157.08,4576.73,7527
101,108,Visa,4867.49,2058.35,233
102,109,AMEX,4475.64,2200.76,3505
103,110,MasterCard,6993.33,3857.36,6390
104,111,AMEX,3437.91,4507.25,6264
105,112,AMEX,1256.36,4064.69,7027
106,113,Visa,2209.7,2357.23,2290
107,114,AMEX,3479.44,3490.18,4252
108,115,Visa,8283.82,1318.87,5608
109,116,AMEX,2894.62,385.92,6192
110,118,Visa,3783.95,120.35,4647
111,119,AMEX,1529.45,2222.57,1429
112,120,AMEX,8489.28,3278.29,8769
113,121,MasterCard,9401.57,167.13,43
114,123,AMEX,5587.79,2604.08,9171
115,124,MasterCard,3590.78,4697.89,6392
116,125,AMEX,5948.94,706.91,150
117,126,Visa,7321.96,3392.53,8470
118,127,MasterCard,9860.94,3272.27,9401
119,128,AMEX,4135.25,1529.74,6486
120,129,MasterCard,3290.08,379.47,8687
121,130,AMEX,7014.85,3045.93,2220
122,131,AMEX,8587.19,2216.28,8979
123,133,MasterCard,1390.08,3900.56,987
124,134,AMEX,6231.45,2024.65,9179
125,135,AMEX,2174.01,3085.42,1932
126,136,MasterCard,6662.18,1281.2,4718
127,137,MasterCard,6093.49,391.53,7801
128,138,MasterCard,8212.72,775.69,8387
129,139,MasterCard,8175.18,1838.14,6968
130,140,Visa,8492.02,3669.04,4561
131,141,Visa,9408.31,2928.2,714
132,142,Visa,6312.22,1881.02,9063
133,143,MasterCard,2303.07,2371.43,6128
134,144,Visa,9231.54,2908.31,2160
135,145,AMEX,9968.85,846.06,8707
136,146,Visa,1346.18,1359.01,358
137,147,AMEX,6418.03,1382.53,2320
138,149,Visa,3733.76,998.89,9159
139,150,AMEX,7923.47,2796.43,1150
140,151,AMEX,3712.46,1131.56,3012
141,152,Visa,2347.08,2909.99,3935
142,153,AMEX,3183.69,120.08,3765
143,154,Visa,5836.36,869.04,3920
144,155,MasterCard,3287.64,3057.75,3507
145,156,MasterCard,4145.51,2922.09,5639
146,157,AMEX,6173.4,1378.44,7205
147,158,AMEX,7228.7,3116.28,3106
148,159,AMEX,1630.36,829.57,5436
149,160,Visa,4703.32,4087.66,8753
150,161,MasterCard,7430.25,1251.65,2604
151,162,MasterCard,3950.7,2336.54,5262
152,163,MasterCard,7817.04,4736.61,9907
153,164,MasterCard,4082.07,2888.99,5930
154,165,AMEX,7833.65,3761.37,9441
155,166,MasterCard,9602.15,3727.59,3357
156,167,MasterCard,5537.35,1906.93,7951
157,170,Visa,9571.27,168.94,3832
158,171,AMEX,2433.47,1320.95,5145
159,173,MasterCard,7207.61,2097.76,1802
160,174,MasterCard,6691.97,45.09,2157
161,175,Visa,7654.68,3803.42,3765
162,176,Visa,3873.79,4815.27,5527
163,177,Visa,9352.22,158.31,6037
164,178,AMEX,9170.27,2889.18,8537
165,180,Visa,5629.23,2618.58,2004
166,181,MasterCard,3822.26,4715.61,7071
167,182,Visa,8116.98,3826.42,9833
168,183,AMEX,9102.64,3731.6,7330
169,184,AMEX,5814.61,1467.03,1138
170,185,MasterCard,3885.67,3982.37,7290
171,186,MasterCard,6808.84,512.42,9002
172,187,Visa,2281.89,3537.47,8097
173,188,MasterCard,5579.63,2020.83,8657
174,189,MasterCard,7827.75,2186.18,4937
175,190,MasterCard,3365.06,2449.18,3447
176,191,MasterCard,4527.44,3841.22,1937
177,192,MasterCard,6889,1557.54,9840
178,193,MasterCard,9637.01,1617.49,1701
179,194,AMEX,1714.43,2601.65,6100
180,195,Visa,2400.35,1338.98,9394
181,196,AMEX,2151.57,2230.58,8131
182,197,MasterCard,2985.56,3301.72,4377
183,198,MasterCard,1545.49,4949.28,1764
184,199,MasterCard,4259.28,1309.97,1471
185,200,MasterCard,3525.57,1310.76,7179
186,201,Visa,2783.1,1970.59,6515
187,202,Visa,3316.81,3295.36,2011
188,204,Visa,7200.6,4745.12,2801
189,205,AMEX,9356.31,1690.09,4164
190,206,Visa,2892.66,2086.37,2813
191,207,MasterCard,1909.04,2181.68,2240
192,208,MasterCard,1527.5,1744.56,725
193,209,MasterCard,5437.87,1577.08,9231
194,210,AMEX,6813.25,356.96,4357
195,211,MasterCard,3156.94,2725.48,1847
196,212,MasterCard,6991.48,3311.69,7589
197,213,AMEX,2686.51,4957.89,7893
198,214,AMEX,3001.84,3095.85,5035
199,215,AMEX,6978.03,3052.17,3884
200,216,AMEX,9590.03,1851.94,4646
201,217,Visa,9128.25,287.56,4047
202,218,Visa,1243.2,3070.83,7776
203,219,Visa,9832.4,627.7,1494
204,220,AMEX,4280.3,3719.57,2113
205,221,AMEX,5988.43,3770.77,1414
206,222,AMEX,4107.94,525.49,6231
207,223,MasterCard,8419.66,1388.13,7116
208,224,MasterCard,7051.47,4099.49,7247
209,225,MasterCard,8894.78,4810.91,330
210,226,Visa,2909.13,3652.84,5636
211,227,MasterCard,6763.76,2006.63,432
212,228,AMEX,5784.83,4136.06,5555
213,230,AMEX,4288.63,4331.3,1645
214,231,Visa,1057.94,214.18,5968
215,232,MasterCard,7341.97,4964.63,2463
216,233,AMEX,7429.1,552.67,1450
217,234,AMEX,8830.44,4575.83,3464
218,235,Visa,9662.69,4262.7,5019
219,236,Visa,2791.92,1466.02,1932
220,237,MasterCard,1613.01,2311.76,6113
221,238,AMEX,8064.15,1072.37,1392
222,239,Visa,8908.27,2405.34,5659
223,240,Visa,2540.59,904.03,1610
224,241,MasterCard,1981.49,1463.07,8134
225,242,AMEX,8639.15,195.79,5880
226,243,MasterCard,9799.74,2759.35,2503
227,244,MasterCard,4670.46,3617.72,5681
228,245,AMEX,9144.37,1011.49,4369
229,246,AMEX,7942.51,3060.67,5538
230,247,MasterCard,3605.5,240.42,8061
231,248,AMEX,2412.86,417.31,6935
232,249,Visa,2754.94,2722.29,3505
233,250,AMEX,5735.04,296.43,1093
234,251,AMEX,4576.09,2286.04,5281
235,252,Visa,9627.43,320.35,664
236,253,Visa,4738.01,1746.38,6368
237,254,Visa,1874.38,4403.33,812
238,255,MasterCard,2075.38,3732,2048
239,256,AMEX,9151.72,2067.78,8249
240,258,Visa,9508.98,1823.61,9654
241,259,Visa,9551.98,658.84,474
242,260,MasterCard,9665.04,1953.25,4837
243,262,AMEX,8990.91,4239.71,5449
244,264,Visa,9565.37,3189.8,4118
245,265,MasterCard,8159.68,335.96,7627
246,266,Visa,7131.21,713.68,3922
247,267,Visa,9047.88,472.18,6826
248,268,MasterCard,8277.78,954.37,3359
249,269,MasterCard,4432.05,3869.91,3905
250,270,MasterCard,3518.58,3101.83,476
251,271,AMEX,2356.87,2211.73,7869
252,272,Visa,9555.65,57.96,7544
253,273,AMEX,1771.88,3340.55,4518
254,274,Visa,7934.05,2696.95,3540
255,275,MasterCard,4477.15,414.14,9634
256,276,AMEX,5197.16,3503.75,2561
257,277,MasterCard,2090.43,1349.12,6648
258,278,MasterCard,2067.68,2420.03,2193
259,279,MasterCard,4161.14,1593.86,2118
260,280,MasterCard,7418.23,1612.87,3227
261,281,AMEX,3412.34,295.14,1453
262,282,MasterCard,7266.59,238.78,97
263,283,MasterCard,9969.61,3888.99,5850
264,285,Visa,9419.65,1438.06,4123
265,286,Visa,1714.77,4756.37,4855
266,287,AMEX,3821.11,3993.9,289
267,288,MasterCard,6390.97,2591.96,516
268,289,MasterCard,2933.09,3710.94,3300
269,290,AMEX,4359.03,4718.94,6295
270,291,AMEX,5062.18,4699.36,3428
271,292,Visa,7067.37,2229.14,978
272,293,Visa,2961.29,1612.06,2322
273,294,AMEX,4174.62,3740.67,752
274,295,MasterCard,9591.9,2050.93,7967
275,296,MasterCard,3395.71,774.01,4856
276,297,MasterCard,7617.56,968.8,9740
277,298,MasterCard,8838.8,2715.58,347
278,299,Visa,7041.8,2545.9,1980
279,300,MasterCard,8097.28,2316.68,2812
280,301,AMEX,9856.36,1850.26,2815
281,302,MasterCard,3986.62,1625.51,7999
282,303,Visa,3323.49,941.17,1982
283,304,MasterCard,5053.05,3409.23,9746
284,305,MasterCard,6744.88,2515.52,6359
285,306,Visa,1964.5,1846.73,1131
286,307,Visa,1471.69,3886.96,2320
287,308,Visa,2238.45,3162.06,3202
288,309,MasterCard,2502.57,3778.11,9873
289,310,AMEX,1353.48,3222.2,3453
290,311,AMEX,6330.59,3125.05,2317
291,312,Visa,6223.48,2059.07,3050
292,313,AMEX,5314.23,1405.2,5250
293,316,MasterCard,7348.88,1004.28,6032
294,317,AMEX,1912.87,3364.06,2763
295,318,AMEX,6189.39,946.97,6982
296,319,MasterCard,1357.96,4694.62,5281
297,320,AMEX,4641.09,980.17,8368
298,321,Visa,8273.56,4274.29,2418
299,322,Visa,5781.64,4675.61,3259
300,323,AMEX,1864.16,1034.48,8175
301,324,Visa,8620.43,4435.27,9660
302,325,Visa,1670.47,547.3,6009
303,326,MasterCard,5384.6,3499.94,2628
304,327,MasterCard,5624.47,2534.42,5389
305,328,Visa,7962.71,4805.58,5101
306,329,AMEX,9870.84,2404.73,3792
307,330,MasterCard,4590,342.16,6254
308,331,AMEX,6767.13,631.19,2517
309,332,MasterCard,5682.76,1607.23,191
310,333,Visa,1717.43,2344.87,7883
311,334,MasterCard,8175.51,4789.63,7107
312,335,AMEX,5704.6,2421.5,7051
313,336,Visa,6459.75,4650.09,4313
314,339,AMEX,7186.92,4596.41,3998
315,340,AMEX,4212.96,1275.91,5825
316,341,AMEX,5471.24,4184.03,4634
317,342,Visa,3750.84,4876.42,3980
318,343,Visa,6749.59,359.88,4393
319,344,MasterCard,8279.12,3407.06,5227
320,346,Visa,8366.36,2275.69,9653
321,348,Visa,4555.25,4727.19,9618
322,349,MasterCard,3079.79,3160.63,2114
323,350,MasterCard,9491.14,4959.12,6435
324,351,AMEX,1492.79,4826.23,7
325,352,AMEX,5350.06,4281.53,5340
326,353,Visa,8013.22,3495.69,6850
327,354,AMEX,1413.25,1159.11,7332
328,355,Visa,6763.7,2864.88,220
329,357,Visa,3682.38,4771.23,3173
330,358,AMEX,3792.92,4794,3837
331,359,Visa,1304.35,1662.92,9329
332,360,Visa,5959.12,240.54,6065
333,361,MasterCard,1552.98,4138.9,8027
334,362,MasterCard,1019.99,1760.46,320
335,363,Visa,2142.22,1597.56,5394
336,364,AMEX,4911.95,2899.75,813
337,365,AMEX,7720.43,2.38,4985
338,366,MasterCard,7076.06,1874.86,6748
339,367,MasterCard,3811.15,2081.83,5381
340,368,Visa,3888.88,4853.94,3406
341,369,AMEX,6918.43,791.94,2991
342,370,MasterCard,7366.03,753.08,2368
343,371,AMEX,7505.92,3096.8,287
344,372,MasterCard,2425.63,390.94,3466
345,373,AMEX,1585.88,3105.37,7821
346,374,MasterCard,5541.14,2037.22,444
347,375,Visa,4588.12,13.14,9974
348,376,AMEX,9363.51,2203.22,4636
349,377,AMEX,1051.83,3693.8,4464
350,378,AMEX,8280.49,663.01,4026
351,379,AMEX,9926.93,917.79,7192
352,380,Visa,8653.42,1172.33,7965
353,381,AMEX,8332.99,1949.43,894
354,382,AMEX,1202.27,4745.81,3207
355,383,MasterCard,8788.67,352.76,6817
356,384,MasterCard,6257.29,4108.37,6666
357,385,AMEX,6885.88,4003.66,2527
358,386,Visa,4572.52,2328.44,7483
359,387,Visa,9496.02,680.19,3483
360,388,AMEX,5707.66,3060.75,6198
361,389,MasterCard,6558.77,3616.69,7718
362,390,MasterCard,2880.23,776.24,7741
363,391,MasterCard,6023.32,3494.73,830
364,392,Visa,2985.82,4602.65,696
365,393,AMEX,2030.96,947.46,3125
366,394,Visa,5635.38,628.36,8469
367,395,Visa,8614.96,3334.37,842
368,396,MasterCard,8896.64,2405.58,1791
369,397,Visa,9432.81,4269.68,1346
370,398,Visa,9426.46,2579.6,2763
371,399,AMEX,9717.94,4104.52,7883
372,400,MasterCard,7495.65,1975.56,4080
373,401,Visa,2003.76,980.61,2985
374,402,AMEX,6560.61,1877.34,9511
375,404,AMEX,1964.87,1497.48,9223
376,405,MasterCard,7325.45,1170.96,4632
377,406,AMEX,4726.07,1932.89,3668
378,407,Visa,1632.01,4858.16,8453
379,408,AMEX,9415.51,2458.37,3685
380,409,Visa,2726.14,694.1,2334
381,410,Visa,2115.59,1175.85,9877
382,411,AMEX,2824.41,1764.83,6579
383,412,Visa,7878.54,942.07,1401
384,413,MasterCard,7940.86,3708.79,978
385,414,AMEX,1771.71,3953.28,8550
386,415,Visa,5614.99,4012.93,1356
387,416,AMEX,7211.14,4578.81,1847
388,417,MasterCard,7146.65,4293.73,5610
389,418,AMEX,7038.44,2903.74,3182
390,419,AMEX,4818.74,2496.65,7954
391,420,Visa,4682.26,4003.2,4500
392,421,AMEX,9274.5,4827.52,9218
393,422,AMEX,9579.56,152.65,2505
394,423,Visa,2587.32,1801.67,2412
395,424,MasterCard,9959.51,3340.07,8388
396,425,AMEX,2238.26,1787.3,1752
397,426,MasterCard,8077.64,3814.19,4589
398,427,MasterCard,1938.53,3958.99,2565
399,428,Visa,6616.33,3414.35,7478
400,429,AMEX,5986.77,792.06,7243
401,430,Visa,9988.33,4662.43,5632
402,431,MasterCard,5663.95,1640.72,5185
403,432,Visa,6703.38,4887.67,2567
404,433,AMEX,7484.35,1759.92,8268
405,434,Visa,7529.78,803.87,2166
406,435,MasterCard,6739.34,1441.71,1576
407,436,MasterCard,8061.69,4072.57,7587
408,437,AMEX,7589.54,1540.8,1166
409,438,AMEX,4313.74,2989.76,6331
410,439,MasterCard,2091.38,3479.35,1607
411,440,MasterCard,9127.91,1521.94,9715
412,441,AMEX,1087.91,3318.97,4951
413,442,Visa,2833.11,772.36,3920
414,443,AMEX,5950.21,3151.51,2206
415,444,Visa,8088.62,3274.27,1499
416,445,Visa,2922.38,163.56,531
417,446,AMEX,6713.24,1470.5,236
418,447,AMEX,4402.15,30.38,4043
419,448,AMEX,1030.93,3962.21,1153
420,449,Visa,7436.21,2233.05,5297
421,450,Visa,6624.9,2134.02,4651
422,451,AMEX,1499.57,2284.42,7386
423,452,Visa,8825.77,2021.44,1681
424,453,Visa,2532.32,823.22,695
425,454,Visa,8239.02,3309.87,7733
426,455,AMEX,4620.45,4586.65,5511
427,456,MasterCard,2963.54,4933.48,5282
428,457,AMEX,6268.97,3984.32,1752
429,458,Visa,5060.03,1943.64,2701
430,461,AMEX,8382.93,1779.99,3617
431,462,Visa,1379.01,3356.63,5485
432,463,Visa,5278.24,4472.48,2833
433,464,MasterCard,3928.91,552.55,5480
434,465,MasterCard,2438.26,458.55,3969
435,466,Visa,9768.06,771.56,1273
436,467,AMEX,7209.08,723.13,2365
437,468,Visa,3781.72,3922.59,5998
438,469,Visa,4881.43,3558.27,3710
439,470,Visa,5644.55,4522.46,1986
440,471,MasterCard,1136.92,1469.85,8508
441,472,AMEX,7968.69,3397.97,84
442,473,AMEX,8267.27,1822.83,8678
443,474,MasterCard,7535.72,687.5,7039
444,475,MasterCard,4393.14,3930.19,6427
445,476,MasterCard,1895.84,3125.74,6090
446,477,MasterCard,1044.78,3516.03,4172
447,478,MasterCard,4927.55,814.66,1382
448,479,AMEX,9547.19,3225.41,5648
449,480,AMEX,5193.51,1546.55,7199
450,481,MasterCard,9083.8,1257.76,8020
451,482,MasterCard,6354.88,3248.52,234
452,484,AMEX,8216.27,4521.29,9521
453,485,AMEX,3593.44,812.82,851
454,486,MasterCard,5767,2096.31,6864
455,487,AMEX,1819.1,2719.28,3229
456,488,AMEX,9595.71,4174.37,2600
457,489,MasterCard,9950.4,1115.97,7283
458,490,MasterCard,6132.67,4614.41,6600
459,491,MasterCard,9294.85,1482.58,3973
460,492,Visa,8517.96,2689.48,4788
461,494,Visa,6584.27,3111.87,1015
462,495,Visa,7561.93,783.61,1792
463,496,MasterCard,3983.6,420.77,5278
464,497,AMEX,3786.6,2458.24,2631
465,498,AMEX,8458.48,3487.96,4589
466,499,MasterCard,2698.48,933.34,4663
467,500,AMEX,3127.13,273.65,5805
468,501,Visa,6330.74,212.45,8997
469,502,AMEX,4576.44,7.32,2777
470,503,AMEX,2180.45,1168.65,1098
471,504,MasterCard,9855.08,4332.59,8916
472,505,Visa,5259.41,2260.52,3670
473,506,Visa,9990.42,4615.91,4113
474,507,MasterCard,5062.23,1246.97,6802
475,508,MasterCard,8066.4,4916.85,5557
476,509,AMEX,7335.03,4124.28,5782
477,510,MasterCard,3935.79,3919.21,3023
478,511,AMEX,1749.63,2977.93,462
479,512,AMEX,2365.38,979.55,3035
480,513,MasterCard,1344.37,4758.33,3077
481,514,MasterCard,6914.07,4051.82,5992
482,515,AMEX,1590.01,4161.96,1676
483,516,Visa,3664.76,4430.65,8581
484,517,Visa,2031.45,1289.22,8626
485,518,AMEX,6251.9,4347.56,6574
486,519,MasterCard,7313.79,2451.65,200
487,520,Visa,5009.74,3266.68,8769
488,521,MasterCard,9621.23,4803.86,958
489,522,MasterCard,3420.96,4493.3,3777
490,523,MasterCard,9929.42,1248.43,8868
491,525,Visa,8743.69,4147.01,5285
492,526,MasterCard,2079.89,2206.79,1302
493,527,AMEX,9852.98,534.75,5702
494,528,MasterCard,7795.45,1570.82,4164
495,529,MasterCard,6351.7,3670.94,188
496,530,AMEX,1043.77,2935.92,8088
497,531,Visa,1037.93,3857.96,9074
498,532,AMEX,2520.13,4482.73,7905
499,534,AMEX,3663.14,3439.77,5980
500,535,MasterCard,8647.67,484.57,8410
501,536,Visa,7762.75,3322.58,5090
502,537,Visa,9027.38,178.7,3433
503,538,AMEX,4365.45,1260.02,3870
504,539,Visa,8080.76,2240.79,8267
505,540,AMEX,8584.59,4225.95,8753
506,542,MasterCard,7992.77,3899.47,1471
507,543,Visa,8727.88,2822.9,6048
508,544,AMEX,3734.89,2285.51,5837
509,545,Visa,7028.39,3211.17,4775
510,546,Visa,6954.35,1723.01,3530
511,547,Visa,6250.7,4972.93,7406
512,548,AMEX,9670.58,552.54,6219
513,549,MasterCard,4756.29,692.89,458
514,550,AMEX,8811.63,4420.15,1886
515,551,MasterCard,1503.63,1095.62,5172
516,552,Visa,4686.61,305.44,2723
517,553,Visa,1656.44,4455.17,2292
518,554,Visa,6346.82,312.07,8428
519,555,Visa,6331.32,4298.77,4950
520,556,MasterCard,4120.41,2652.8,5493
521,557,AMEX,9155.01,2671.7,9351
522,558,MasterCard,2462.28,654.37,3801
523,559,AMEX,5178.44,3151.82,9182
524,560,Visa,6310.53,1851.53,2783
525,561,Visa,2784.25,1812.88,7324
526,562,AMEX,8373.8,3485.35,4875
527,563,Visa,5100.35,4338.96,2660
528,564,MasterCard,5708.43,3656.88,5712
529,565,AMEX,4657.94,3409.51,253
530,566,AMEX,6454.41,4430.62,2626
531,567,AMEX,8325.9,4501.25,5376
532,568,MasterCard,4016.98,3681.76,9999
533,569,AMEX,3739.31,4101.55,6946
534,570,AMEX,9207.05,1206.57,4160
535,571,Visa,9993.41,3406.19,9337
536,572,AMEX,3050.3,2446,2666
537,573,MasterCard,2953.44,4245.37,871
538,574,MasterCard,2331.97,4804.91,2041
539,575,Visa,3634.85,1336.51,1660
540,576,MasterCard,5467.3,3356.83,3324
541,577,Visa,1043.61,4274.26,3428
542,578,Visa,3168.9,3408.15,4068
543,579,MasterCard,8726.85,3440.56,8813
544,580,AMEX,2114.69,4087.53,9092
545,581,MasterCard,8541.66,3512.82,6977
546,582,MasterCard,6039.89,4135.2,8509
547,583,MasterCard,3387.2,4955.93,2343
548,584,Visa,5104.36,2720.12,2612
549,585,Visa,2537.9,3329.66,236
550,586,MasterCard,6364.24,3076.12,6694
551,587,MasterCard,1735.55,1409.69,9219
552,588,Visa,6499.31,4166.08,7514
553,589,MasterCard,5275.32,1931.5,2440
554,590,MasterCard,1010.17,4773.75,1606
555,591,Visa,9361.25,4135.05,1065
556,592,MasterCard,1266.66,775.14,4595
557,593,Visa,8666.52,299.1,3358
558,594,AMEX,3295.47,700.82,7014
559,595,AMEX,9838.63,3893.22,9441
560,596,Visa,9997.44,3645.8,8488
561,597,MasterCard,3099.94,3011.38,2940
562,598,AMEX,3269.11,906.72,6347
563,599,MasterCard,8632.53,2248.84,293
564,600,MasterCard,2265.43,2676.03,2203
565,601,MasterCard,1030.4,4852.56,7070
566,602,Visa,6669.12,1093.09,3671
567,603,AMEX,3447.25,1757.38,229
568,604,AMEX,4319.26,3213.43,140
569,605,MasterCard,5027.57,1052.52,149
570,606,MasterCard,3392.58,895.49,6269
571,607,Visa,2068.31,2211.29,7639
572,608,AMEX,7370.27,2604.25,6399
573,609,AMEX,5436.41,3441.48,3403
574,610,Visa,7918.23,3801.43,1380
575,611,MasterCard,9161.22,4344.39,2212
576,612,AMEX,3035.59,1694.55,8691
577,613,MasterCard,9054.13,2520.53,9482
578,614,MasterCard,9609.22,4316.76,717
579,615,AMEX,3678.88,2316.79,7773
580,616,AMEX,8688.86,691.09,8444
581,617,AMEX,3454.28,2177.1,726
582,618,AMEX,8533.54,3849.33,2004
583,619,AMEX,9164.71,2347.01,102
584,621,AMEX,6162.54,4707.14,7733
585,622,Visa,5923.36,1523.54,8443
586,623,Visa,1912.53,2596.51,4048
587,624,Visa,5855.11,1765.73,1288
588,625,AMEX,8553.04,2084.76,5983
589,626,Visa,1082.25,3216.63,9199
590,627,MasterCard,9178.58,2406.05,7505
591,628,AMEX,6185.71,510.71,6549
592,629,MasterCard,6781.73,2543.13,8812
593,630,Visa,7569.1,1490.46,3612
594,631,Visa,9356.1,3154.95,6295
595,632,Visa,7249.14,908.32,9722
596,633,AMEX,4959.2,2909.92,3486
597,634,MasterCard,8728.67,2250.11,2230
598,635,AMEX,9557.79,4040.85,8961
599,636,AMEX,6590.88,1695.25,711
600,637,MasterCard,7885.13,500.28,4973
601,638,AMEX,5971.93,426.23,6044
602,639,Visa,1999.48,2252.02,1251
603,640,Visa,6498.24,2589.2,4502
604,641,Visa,6128.04,1875.71,4448
605,642,AMEX,5502.82,3937.58,8655
606,643,AMEX,6080.02,3326.42,5132
607,644,Visa,4051.76,2827.11,4829
608,645,AMEX,8213,3055.72,4885
609,647,Visa,4888.53,3039.71,3430
610,648,AMEX,7421.79,1113.73,7927
611,649,MasterCard,6060.64,2030.72,8741
612,650,MasterCard,2174.53,680.78,5399
613,651,Visa,5458.88,4356.42,3718
614,652,Visa,7722.22,1093.01,3057
615,653,AMEX,1633.46,3001.28,4336
616,654,AMEX,8664.96,267.82,435
617,655,AMEX,5601,1588.89,7854
618,656,Visa,5754.47,4475.02,5659
619,657,Visa,6076.07,3970.99,4236
620,658,AMEX,3192.09,465.16,8865
621,659,MasterCard,4426.88,2790.32,7316
622,660,MasterCard,7020.04,1920.25,3129
623,661,MasterCard,4554.94,675.57,7302
624,662,Visa,9440.85,4091.47,3566
625,664,MasterCard,2583.99,2522.87,1961
626,665,AMEX,2787.11,949.74,5913
627,666,MasterCard,4699.19,2097.58,2227
628,667,AMEX,6248.36,162.55,7382
629,668,MasterCard,8941.69,3513.14,4154
630,669,Visa,2130.31,4516.31,3372
631,670,Visa,8158.36,78.44,990
632,672,MasterCard,5998.22,444.71,3671
633,673,Visa,6215.98,1157.1,579
634,674,AMEX,9676.11,2676.55,4578
635,675,Visa,7766.53,1599.52,546
636,676,Visa,7510.19,29.43,7671
637,677,Visa,1225.19,4913.77,4654
638,678,AMEX,7806.03,855.93,2380
639,679,Visa,7103.01,2636.7,4590
640,680,AMEX,7112.64,2578.19,9882
641,681,MasterCard,1455.94,4747.53,1645
